State,Room Size,04/30/20,05/31/20,06/30/20,07/31/20,08/31/20,09/30/20,10/31/20,11/30/20,12/31/20,01/31/21,02/28/21,03/31/21,04/30/21,05/31/21,06/30/21,07/31/21,08/31/21,09/30/21,10/31/21,11/30/21,12/31/21,01/31/22,02/28/22,03/31/22,04/30/22,05/31/22,06/30/22,07/31/22,08/31/22,09/30/22,10/31/22,11/30/22,12/31/22,01/31/23,02/28/23,03/31/23,04/30/23,05/31/23,06/30/23,07/31/23,08/31/23,09/30/23,10/31/23,11/30/23,12/31/23,01/31/24,02/29/24,03/31/24,04/30/24,05/31/24,06/30/24,07/31/24,08/31/24,09/30/24,10/31/24,11/30/24,12/31/24,01/31/25,02/28/25
California,1bedroom,414686.57411238336,414917.6731091413,415187.40596976975,415680.2694041828,416367.3940597115,417511.2631917422,418600.08655675664,419786.6221593308,421650.17011324025,424006.5541512302,426725.37582468276,429370.61605499877,429972.9816099348,430201.9531572054,430469.8319755095,430961.1639026109,431647.23871735344,432791.4389283706,433880.6275482669,435067.9299724937,436933.8456751549,439293.74662637874,442016.6918352082,444665.4863586437,445268.41429301025,445497.4553657965,445765.3947746103,446256.7767517064,446942.885875476,448087.07526675926,449176.25195004593,450363.52931437304,452229.3676384859,454589.1536562142,457311.9641070034,459960.6424753604,460563.5520310439,460792.590831721,461060.5282604237,461551.90860187495,462238.01660441805,463382.2063492926,464471.38342267036,465658.6616059604,467524.5024588212,469884.29223260126,472607.1070873128,475255.7892516433,475858.69940794614,476087.7382828763,476355.67577628937,476847.056171194,477533.16421037907,478677.3539436981,479766.5310043276,480953.8091608538,482819.6499310745,485179.439582106,487902.2542928965
Texas,1bedroom,118148.3548597051,118562.70106249832,119080.2746561801,119582.97849765721,120130.21317601911,120729.42401455664,121252.92884060409,121668.61849435173,121954.09277392729,122312.34183362727,122689.04586871297,123160.24488414262,123597.17121875564,123974.08889095021,124469.9777010312,124964.58688013678,125498.67701501463,126107.91335281965,126617.3824798926,127020.07611607127,127249.55612566395,127568.22302899671,127905.49343363027,128382.63348566288,128830.57709092257,129217.69449834307,129719.49267883271,130216.30775305658,130753.97993780543,131360.48420367495,131873.7782314576,132280.0134423675,132524.75257965922,132854.2061077448,133202.22266199137,133677.74370843256,134122.68497185007,134507.02282589203,135007.21063021792,135503.42457087382,136040.1206029481,136647.36939204397,137159.62108730967,137564.89117551871,137805.4720127164,138131.98605280442,138477.0741490272,138953.03639441734,139398.79583293706,139783.89114948298,140284.5178011326,140780.895558084,141317.85760377572,141924.9035011295,142437.4392448342,142842.97234085712,143084.68636600717,143412.00145275117,143757.8875898263
New York,1bedroom,370524.4520799445,371045.6992260616,371429.53199600073,371795.0278614215,372295.9981651535,372460.20691023936,372561.8226659342,372525.3716635242,372863.12160502607,373012.8364934826,373261.90860836493,373105.4078217715,373628.62144537846,374148.48814384,374531.3264420352,374896.0256311971,375396.5893553211,375559.4931996379,375659.82603183994,375621.68689990876,375958.92724332085,376108.022647307,376357.2032749901,376199.72037887067,376722.90577827056,377242.823638658,377625.6987938028,377990.42750925024,378491.0063019614,378653.95850829774,378754.33888800105,378716.2623212509,379053.5215513043,379202.639914523,379451.8165205224,379294.37002318597,379817.55646862683,380337.4724328593,380720.34622201783,381085.07384316693,381585.65207740857,381748.6024913596,381848.9811088651,381810.9022233345,382148.16075341427,382297.2782657216,382546.4550207719,382389.0071744298,382912.1935811024,383432.1096156099,383814.9834553944,384179.71111710026,384680.2893720397,384843.23985241994,384943.61853523576,384905.53973564337,385242.79829166544,385391.91583550913,385641.0925850354
Florida,1bedroom,137875.8194426626,138139.3121204274,138501.47634634905,138808.71996480617,139088.0520438831,139366.66750545267,139750.57904483285,140001.30278127224,140208.05540004594,140536.55714589506,141317.7016931021,142034.7848484068,142270.6888583642,142521.91943269197,142879.99629080127,143179.5650675388,143452.78079765916,143723.95666169972,144106.30970831696,144346.1828064631,144542.26122008657,144863.6468291689,145661.96420229255,146393.8089305598,146630.41336370606,146879.54122776582,147236.91718245245,147535.169874346,147807.33677056766,148077.23688952962,148459.3226852015,148697.33511167168,148891.58310844316,149211.74843962415,150013.01061561712,150747.38666415907,150984.11120614625,151232.8784966312,151590.13426012621,151888.16126927867,152160.14831105538,152429.82966475486,152811.86963213066,153049.56298989794,153243.4971060755,153563.45318352722,154365.22033546196,155100.03045578935,155336.7755940873,155585.48105327538,155942.7162063381,156240.70451532633,156512.66071559282,156782.30455534,157164.33666406176,157401.97530780372,157595.8555996149,157915.77579415572,158717.62953956137
Illinois,1bedroom,145146.9838990588,145459.60502876175,145670.89803526737,145877.15369870397,146085.4882025937,146211.82908717587,146333.00942182855,146377.1517707663,146439.32859374981,146634.66022861627,146914.46297826365,147195.65097890055,147641.9017907444,147954.49536315392,148165.33170594004,148371.30982806435,148579.6738576256,148705.6446871247,148826.32899049585,148869.5776957756,148931.16991046304,149127.0192287701,149407.45185940992,149688.89771757807,150135.13668746056,150447.7314824882,150658.58808580288,150864.57852143815,151072.9412410514,151198.92848856508,151319.63479906213,151362.92315210044,151424.54130375767,151620.36765431036,151900.77233939344,152182.20675734937,152628.44625261714,152941.0409934016,153151.89669782942,153357.88658715843,153566.24936488937,153692.23588399473,153812.94121811466,153856.22781212436,153917.8448130514,154113.6721826009,154394.07810752795,154675.51303304496,155121.75250500327,155434.3472481943,155645.2029925025,155851.19290606916,156059.55568122162,156185.54223264384,156306.24761008212,156349.5342821336,156411.15133411443,156606.9786584546,156887.38452837424
Pennsylvania,1bedroom,127404.77700555953,127799.41356589909,128259.23425361035,128673.9657213534,129067.65585900604,129456.33003336609,129893.78356534702,130324.94975806077,130724.91783147553,131143.52159287757,131552.6652625112,131955.67094994645,132337.99111646853,132715.7424530975,133184.21757446686,133602.45923208524,133995.2415620115,134382.7658465848,134823.30592483544,135253.20118673224,135652.68509602625,136072.8623908207,136484.18479899762,136902.44165623595,137295.9446223116,137677.84987892644,138144.19593019554,138561.5740488921,138954.57970784986,139342.3868758631,139782.16763540663,140212.37555794753,140611.97857605835,141031.76876719817,141442.55518569952,141857.06011520865,142247.8120099713,142628.69536414975,143095.56518620165,143513.15574339754,143906.10646136414,144293.8440374551,144733.81159636873,145163.94260152194,145563.5163177708,145983.40173996202,146394.32001684222,146809.74795500364,147201.17663855542,147582.31139011108,148049.05235974383,148466.59065511936,148859.55488907394,149247.30958541643,149687.2311899708,150117.3811175072,150516.962042283,150936.82403676165,151347.70987527064
Ohio,1bedroom,76544.734527872,76936.09317065372,77340.51850192295,77763.61286437538,78176.77746209009,78589.06124968069,78975.44826666066,79360.43053278673,79745.24642781072,80174.40570536326,80595.35497736228,80988.58449017709,81360.7673869712,81705.72053917738,82080.82122819366,82478.21873918729,82888.2090199571,83309.71344248291,83693.2284584175,84051.00229358723,84409.06323150414,84826.88566282486,85255.24167436198,85659.65687545888,86049.9385980013,86412.9337579362,86799.4355853869,87206.82378469939,87618.04820932035,88035.96773780235,88420.59936007844,88788.95157111518,89157.41457863465,89579.64466656662,90005.12100911773,90405.18732235816,90788.43239578899,91144.41299691098,91526.48217156135,91929.9860874921,92340.73068887179,92760.04398962605,93144.24148611243,93508.48092650968,93872.899709567,94293.41614306586,94720.01207317993,95121.76919212774,95507.75004695168,95866.45784097149,96250.25038833251,96655.2644762262,97066.19562826015,97484.96704378063,97869.33332419228,98235.17177019735,98601.16290876904,99022.34559460447,99448.50623985865
Michigan,1bedroom,114784.55981455147,115162.87268879125,115642.02263261148,116128.67585629976,116598.93009153327,117038.13580321248,117597.96275734091,118204.58550180025,118800.11557230844,119368.01059632658,119932.9519573203,120699.0207117786,121300.94109057989,121677.04521300131,122154.17879209625,122637.99430616196,123105.49592606406,123542.25610181042,124101.42450012031,124707.76606344365,125302.5339850832,125869.64466172196,126434.04215920263,127201.50572008558,127804.4382023003,128180.67667334317,128657.93289900209,129141.92101841561,129609.5900677555,130046.49899465559,130605.70745000838,131212.06611633883,131806.88039612916,132374.0387811561,132938.46935945307,133705.84808041932,134308.71900085182,134684.94930006124,135162.19806567114,135646.17568626342,136113.83455160982,136550.73443063395,137109.9404494937,137716.29807552372,138311.10953555242,138878.26501868875,139442.69358482576,140210.07746622953,140812.95213119348,141189.1829274594,141666.43214683112,142150.41040602038,142618.06989081413,143054.9703201806,143614.1764872415,144220.53417654836,144815.3458080907,145382.50146773623,145946.93015626402
Georgia,1bedroom,188603.46283923284,189402.73888045456,189814.63049843037,190095.46905461248,190467.6974501232,190753.18839660496,190854.55215464128,191107.64262945324,191493.0539332884,191976.22375101064,192583.04595903255,193388.45962121667,194107.26637837506,194905.00137989715,195313.69921589195,195591.44201480757,195961.27222427688,196244.78215966548,196343.0250843456,196593.62846697963,196977.63550978672,197460.31976322492,198067.77115313604,198874.31095971607,199593.38777003746,200391.19634946028,200800.04667456582,201077.93728234118,201447.88199469738,201731.486514695,201829.8784455083,202080.6005759081,202464.674666033,202947.38210304047,203554.80345227022,204361.28949038437,205080.35340684926,205878.15847324932,206287.00151766726,206564.88506821648,206934.82431356097,207218.4243175575,207316.80913398016,207567.5255946939,207951.59648360283,208434.30281369633,209041.72559723712,209848.21420256016,210567.27873465023,211365.0839687818,211773.92736082067,212051.8112483216,212421.75075469198,212705.3509743078,212803.73613041147,213054.45286182791,213438.5239035809,213921.2302865247,214528.65300158344
North Carolina,1bedroom,130733.08265642765,131429.96888184853,132031.28623437393,132608.48981232027,133236.49960260198,133887.13160783617,134552.27205344377,135146.62628998735,135688.01386531658,136182.37789214184,136732.00989737603,137261.2805756016,137854.7935145242,138550.89229336087,139147.484966381,139719.17641823774,140344.10800823566,140993.4514645139,141658.30556590905,142249.1341893369,142785.65391305456,143273.4141264804,143821.75758275864,144348.18271537297,144940.03275782263,145636.2368795707,146233.4616100592,146805.8904622958,147431.233847311,148080.7496828988,148745.6420908072,149336.9423631793,149874.11329762198,150362.7569550093,150911.27279059708,151438.07859418675,152030.1510953521,152726.34112455192,153323.4812997509,153895.81150414972,154521.09980011272,155170.59257516696,155835.47985851235,156426.7170347025,156963.8008515742,157452.32632372732,158000.8190987816,158527.57397702645,159119.616718143,159815.80863261363,160412.96011943748,160985.30352073204,161610.59918639,162260.09504643286,162924.98301533127,163516.22863239303,164053.3241036661,164541.8653863858,165090.36124642866
