,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY,CA_forecast,TX_forecast,NY_forecast,FL_forecast,IL_forecast,PA_forecast,OH_forecast,MI_forecast,GA_forecast,NC_forecast,NJ_forecast,VA_forecast,WA_forecast,MA_forecast,IN_forecast,AZ_forecast,TN_forecast,MO_forecast,MD_forecast,WI_forecast,MN_forecast,CO_forecast,AL_forecast,SC_forecast,LA_forecast,KY_forecast,OR_forecast,OK_forecast,CT_forecast,IA_forecast,MS_forecast,AR_forecast,KS_forecast,UT_forecast,NV_forecast,NM_forecast,WV_forecast,NE_forecast,ID_forecast,HI_forecast,ME_forecast,NH_forecast,RI_forecast,MT_forecast,DE_forecast,SD_forecast,AK_forecast,ND_forecast,VT_forecast,DC_forecast,WY_forecast
1996-01-31,262515.0,232679.0,204713.0,213181.0,258152.0,161662.0,169684.0,156607.0,206036.0,233596.0,301728.0,236945.0,203579.0,279584.0,167534.0,174599.0,219885.0,163220.0,255029.0,139852.0,169342.0,218705.0,181357.0,175230.0,139863.0,153289.0,194943.0,171440.0,355476.0,137681.0,119412.0,184559.0,141197.0,213179.0,240791.0,,111224.0,124744.0,164199.0,368403.0,149122.0,161295.0,204040.0,,217036.0,130392.0,205871.0,,137659.0,378860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,262347.0,232574.0,204163.0,213236.0,257530.0,161470.0,169812.0,157030.0,206311.0,234292.0,300990.0,236715.0,203654.0,279524.0,167262.0,174946.0,220229.0,163369.0,254692.0,140244.0,168813.0,219306.0,181082.0,175424.0,140104.0,153465.0,195585.0,171660.0,355077.0,137875.0,119394.0,184167.0,141451.0,213509.0,240678.0,,111226.0,125605.0,164206.0,366679.0,148668.0,161436.0,204350.0,,216679.0,130125.0,206491.0,,137574.0,378312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,262147.0,232547.0,203767.0,213350.0,256821.0,161274.0,169948.0,157418.0,206559.0,234824.0,300509.0,236624.0,203741.0,279831.0,166648.0,175498.0,220679.0,163416.0,254465.0,140316.0,168570.0,219813.0,181402.0,175624.0,140091.0,153749.0,196102.0,171846.0,355555.0,138108.0,119388.0,184189.0,141820.0,214240.0,240906.0,,111272.0,126013.0,164276.0,364441.0,148349.0,161464.0,204337.0,,216376.0,129364.0,206639.0,,137396.0,377619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,261866.0,232580.0,203106.0,213504.0,255807.0,160955.0,170239.0,158349.0,207104.0,235810.0,299539.0,236288.0,203932.0,280275.0,166110.0,176284.0,221526.0,163576.0,254015.0,140617.0,168239.0,220845.0,181706.0,176122.0,140102.0,154266.0,197228.0,172188.0,355961.0,138442.0,119374.0,183994.0,142470.0,215271.0,241114.0,,111280.0,126999.0,164257.0,359997.0,147671.0,161624.0,204308.0,,215905.0,128369.0,208171.0,,137172.0,376364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,261629.0,232670.0,202731.0,213667.0,254503.0,160710.0,170536.0,159262.0,207634.0,236666.0,298763.0,235959.0,204144.0,280739.0,165772.0,176966.0,222500.0,163626.0,253802.0,140861.0,168329.0,221757.0,182428.0,176694.0,139606.0,154764.0,198352.0,172431.0,356232.0,138732.0,119498.0,184042.0,143049.0,216585.0,241460.0,,111315.0,127556.0,164006.0,354801.0,147094.0,162154.0,203985.0,,216029.0,127807.0,209409.0,,136975.0,374814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,261550.0,232752.0,202494.0,213955.0,253678.0,160600.0,170851.0,160318.0,208208.0,237659.0,298106.0,235616.0,204705.0,281258.0,165603.0,177478.0,223546.0,163715.0,253554.0,141443.0,168703.0,222658.0,182895.0,177361.0,139429.0,155178.0,199510.0,172720.0,356257.0,138913.0,119727.0,184235.0,143567.0,217452.0,241618.0,,111295.0,129007.0,163540.0,349843.0,146626.0,163027.0,203564.0,,216544.0,128255.0,211131.0,,136730.0,373404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,261519.0,232711.0,202308.0,214250.0,252798.0,160566.0,171151.0,161246.0,208704.0,238673.0,297655.0,235374.0,205302.0,282031.0,165458.0,178152.0,224706.0,163888.0,253241.0,142182.0,169082.0,223502.0,183653.0,177999.0,139503.0,155577.0,200698.0,173134.0,356119.0,139126.0,119933.0,184730.0,143590.0,218472.0,241879.0,,111376.0,130462.0,163064.0,345596.0,146223.0,164147.0,203348.0,,217354.0,128913.0,211795.0,,136432.0,371665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,261668.0,232800.0,202124.0,214536.0,253825.0,160648.0,171520.0,162165.0,209234.0,239648.0,297607.0,235376.0,206091.0,283096.0,165381.0,178887.0,225741.0,164337.0,252999.0,142857.0,169698.0,224399.0,184464.0,178680.0,140355.0,156040.0,201746.0,173547.0,356250.0,139336.0,120119.0,185314.0,143704.0,219220.0,242536.0,,111416.0,131950.0,162906.0,343100.0,145965.0,164924.0,203265.0,,218053.0,129365.0,212456.0,,136215.0,370713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,261888.0,233050.0,201993.0,214604.0,255363.0,160765.0,171931.0,163005.0,209786.0,240457.0,297709.0,235444.0,206716.0,283931.0,165939.0,179669.0,226627.0,164887.0,252826.0,143402.0,170190.0,225263.0,185279.0,179315.0,141127.0,156496.0,202777.0,173789.0,355806.0,139643.0,120292.0,185769.0,143786.0,220069.0,243296.0,,111444.0,132722.0,162829.0,341026.0,145756.0,165531.0,203610.0,,218798.0,130068.0,212568.0,,136281.0,369931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,262478.0,233561.0,201969.0,214729.0,258371.0,160931.0,172397.0,163885.0,210426.0,241489.0,298052.0,235676.0,207547.0,285043.0,166498.0,180401.0,227369.0,165489.0,252888.0,143922.0,170818.0,226063.0,185991.0,179860.0,142123.0,156905.0,203897.0,173980.0,355518.0,140128.0,120564.0,186164.0,144441.0,220716.0,244012.0,,111406.0,133401.0,162857.0,338497.0,145899.0,165924.0,203976.0,,219408.0,130975.0,212851.0,,136641.0,369362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
