,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY,CA_forecast,TX_forecast,NY_forecast,FL_forecast,IL_forecast,PA_forecast,OH_forecast,MI_forecast,GA_forecast,NC_forecast,NJ_forecast,VA_forecast,WA_forecast,MA_forecast,IN_forecast,AZ_forecast,TN_forecast,MO_forecast,MD_forecast,WI_forecast,MN_forecast,CO_forecast,AL_forecast,SC_forecast,LA_forecast,KY_forecast,OR_forecast,OK_forecast,CT_forecast,IA_forecast,MS_forecast,AR_forecast,KS_forecast,UT_forecast,NV_forecast,NM_forecast,WV_forecast,NE_forecast,ID_forecast,HI_forecast,ME_forecast,NH_forecast,RI_forecast,MT_forecast,DE_forecast,SD_forecast,AK_forecast,ND_forecast,VT_forecast,DC_forecast,WY_forecast
1996-01-31,162238.0,97631.0,139108.0,100595.0,139112.0,96300.0,92098.0,90643.0,102841.0,109754.0,162226.0,121528.0,140993.0,153060.0,109862.0,108148.0,91256.0,82885.0,149713.0,99427.0,103478.0,139383.0,82380.0,97056.0,83464.0,75941.0,130798.0,63950.0,149422.0,80496.0,73297.0,68742.0,76315.0,158790.0,157071.0,,61171.0,83534.0,124193.0,246670.0,98862.0,106348.0,126677.0,,131960.0,84389.0,125190.0,,108750.0,166900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,162008.0,97656.0,138793.0,100691.0,138861.0,96233.0,92209.0,90966.0,103000.0,109967.0,161928.0,121466.0,140998.0,153050.0,109872.0,108454.0,91437.0,83090.0,149694.0,99576.0,103315.0,139842.0,82480.0,97193.0,83778.0,76096.0,131281.0,64047.0,149224.0,80662.0,73296.0,68773.0,76461.0,158930.0,157039.0,,61176.0,83858.0,124003.0,245772.0,98499.0,106046.0,126771.0,,131905.0,84783.0,125611.0,,108738.0,166140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,161859.0,97684.0,138607.0,100803.0,138544.0,96166.0,92355.0,91276.0,103162.0,110158.0,161712.0,121467.0,141021.0,153162.0,109445.0,108807.0,91658.0,83256.0,149688.0,99682.0,103252.0,140220.0,82562.0,97244.0,84016.0,76224.0,131701.0,64201.0,149452.0,80807.0,73370.0,68849.0,76615.0,159207.0,157188.0,,61178.0,84070.0,123928.0,244994.0,98271.0,105841.0,126766.0,,131845.0,84745.0,125886.0,,108650.0,165469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,161569.0,97811.0,138327.0,101013.0,138172.0,96057.0,92659.0,91942.0,103513.0,110554.0,161304.0,121432.0,141078.0,153367.0,109129.0,109447.0,92089.0,83577.0,149719.0,99989.0,103194.0,140986.0,82683.0,97472.0,84525.0,76515.0,132549.0,64457.0,149607.0,81107.0,73463.0,68958.0,76876.0,159702.0,157332.0,,61189.0,84528.0,123746.0,243409.0,97758.0,105510.0,126770.0,,131703.0,84802.0,126559.0,,108515.0,164321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,161373.0,97948.0,138224.0,101215.0,137661.0,95958.0,92975.0,92599.0,103865.0,110946.0,160982.0,121372.0,141200.0,153604.0,109017.0,110046.0,92539.0,83837.0,149836.0,100349.0,103283.0,141663.0,82750.0,97639.0,84821.0,76769.0,133373.0,64726.0,149721.0,81346.0,73612.0,69085.0,77050.0,160351.0,157600.0,,61193.0,84854.0,123618.0,241560.0,97377.0,105492.0,126606.0,,131818.0,84595.0,127077.0,,108331.0,163420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,161219.0,98064.0,138158.0,101444.0,137359.0,95911.0,93266.0,93271.0,104240.0,111388.0,160690.0,121295.0,141529.0,153859.0,109315.0,110586.0,93000.0,84069.0,149929.0,100847.0,103522.0,142340.0,82852.0,97908.0,85099.0,77029.0,134211.0,64924.0,149785.0,81571.0,73745.0,69200.0,77214.0,160885.0,157752.0,,61205.0,85232.0,123456.0,239536.0,96989.0,105666.0,126337.0,,132086.0,84617.0,127687.0,,108054.0,162780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,161124.0,98152.0,138078.0,101665.0,136935.0,95877.0,93524.0,93878.0,104588.0,111857.0,160483.0,121235.0,141919.0,154230.0,109511.0,111081.0,93475.0,84278.0,149970.0,101340.0,103778.0,143004.0,82988.0,98073.0,85272.0,77288.0,135050.0,65125.0,149852.0,81748.0,73929.0,69352.0,77346.0,161387.0,158001.0,,61208.0,85612.0,123306.0,237500.0,96708.0,105970.0,126093.0,,132546.0,84647.0,128238.0,,107740.0,162229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,161108.0,98273.0,137996.0,101863.0,137399.0,95916.0,93812.0,94442.0,104939.0,112317.0,160424.0,121282.0,142391.0,154726.0,109339.0,111541.0,93937.0,84509.0,149929.0,101810.0,104162.0,143684.0,83196.0,98277.0,85599.0,77558.0,135850.0,65294.0,150089.0,81932.0,74071.0,69519.0,77544.0,161795.0,158454.0,,61188.0,86004.0,123268.0,236165.0,96511.0,106221.0,126021.0,,132920.0,84671.0,128678.0,,107498.0,161771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,161134.0,98427.0,137959.0,101993.0,138103.0,95943.0,94111.0,94960.0,105282.0,112720.0,160463.0,121393.0,142779.0,155196.0,109211.0,111980.0,94335.0,84769.0,149971.0,102215.0,104497.0,144334.0,83325.0,98377.0,85897.0,77825.0,136612.0,65451.0,149964.0,82098.0,74195.0,69680.0,77709.0,162238.0,158955.0,,61117.0,86355.0,123269.0,235011.0,96427.0,106442.0,126204.0,,133390.0,84726.0,129035.0,,107392.0,161471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,161286.0,98607.0,137978.0,102128.0,139559.0,96025.0,94413.0,95475.0,105655.0,113196.0,160561.0,121556.0,143255.0,155763.0,108301.0,112427.0,94697.0,85095.0,150049.0,102625.0,104911.0,144951.0,83452.0,98589.0,86292.0,78058.0,137454.0,65595.0,149839.0,82381.0,74474.0,69860.0,77939.0,162661.0,159424.0,,61078.0,86744.0,123335.0,233810.0,96473.0,106687.0,126384.0,,133825.0,84750.0,129175.0,,107507.0,161054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-30,161466.0,98823.0,138035.0,102280.0,140748.0,96126.0,94712.0,96040.0,106045.0,113726.0,160638.0,121688.0,143828.0,156314.0,107427.0,112839.0,95075.0,85410.0,150158.0,103058.0,105342.0,145560.0,83550.0,98813.0,86604.0,78364.0,138332.0,65782.0,149602.0,82759.0,74809.0,70014.0,78176.0,163188.0,159664.0,,61106.0,87205.0,123415.0,232342.0,96509.0,106975.0,126504.0,,134158.0,85043.0,129344.0,,107698.0,160884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,161723.0,99062.0,138139.0,102471.0,141653.0,96259.0,95022.0,96658.0,106467.0,114294.0,160743.0,121821.0,144480.0,156911.0,106246.0,113225.0,95467.0,85697.0,150271.0,103494.0,105801.0,146167.0,83734.0,99098.0,87010.0,78685.0,139236.0,66019.0,149667.0,83192.0,75149.0,70212.0,78428.0,163699.0,160043.0,,61190.0,87575.0,123591.0,231082.0,96539.0,107380.0,126552.0,,134329.0,85203.0,129512.0,,107974.0,160667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-31,161740.0,99086.0,138115.0,102480.0,141961.0,96358.0,95320.0,97307.0,106808.0,114847.0,160992.0,121890.0,145022.0,157053.0,105703.0,113563.0,95797.0,85885.0,150209.0,103897.0,106194.0,146764.0,83843.0,99372.0,87409.0,79001.0,140062.0,66210.0,149291.0,83380.0,75276.0,70418.0,78664.0,164121.0,160398.0,,61531.0,87913.0,123925.0,230265.0,96939.0,107810.0,126696.0,,134483.0,85519.0,129565.0,,108263.0,160593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-28,161821.0,99088.0,138394.0,102546.0,141960.0,96463.0,95620.0,97903.0,107199.0,115392.0,161360.0,122036.0,145599.0,157301.0,105095.0,113934.0,96171.0,86004.0,150175.0,104247.0,106708.0,147265.0,83967.0,99694.0,87760.0,79233.0,140853.0,66415.0,149407.0,83445.0,75367.0,70711.0,78911.0,164459.0,160929.0,,61881.0,88151.0,124422.0,229585.0,97536.0,108429.0,126674.0,,134797.0,85454.0,129672.0,,108348.0,160830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,161987.0,99078.0,138698.0,102627.0,142094.0,96623.0,95903.0,98524.0,107618.0,115986.0,161814.0,122133.0,146250.0,157494.0,105015.0,114227.0,96556.0,86144.0,150109.0,104663.0,107296.0,147810.0,84087.0,100097.0,88023.0,79467.0,141727.0,66554.0,148922.0,83431.0,75482.0,70963.0,79146.0,164662.0,161233.0,,62270.0,88593.0,124857.0,228500.0,98151.0,109090.0,126732.0,,135283.0,85492.0,129865.0,,108422.0,161316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-30,162455.0,99210.0,139067.0,102932.0,141975.0,96840.0,96192.0,99074.0,108121.0,116547.0,162194.0,122305.0,147154.0,158042.0,104616.0,114550.0,97011.0,86345.0,150190.0,105006.0,107943.0,148445.0,84422.0,100430.0,88287.0,79680.0,142614.0,66770.0,148969.0,83480.0,75684.0,71266.0,79402.0,164966.0,161765.0,,62457.0,89072.0,125228.0,227068.0,98485.0,109725.0,126771.0,,135899.0,85595.0,130174.0,,108348.0,161906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-31,163017.0,99303.0,139199.0,103215.0,142120.0,97105.0,96490.0,99655.0,108592.0,117070.0,162627.0,122436.0,148086.0,158662.0,104184.0,114889.0,97408.0,86626.0,150198.0,105386.0,108436.0,149171.0,84846.0,100792.0,88679.0,79958.0,143440.0,66964.0,148882.0,83608.0,75909.0,71498.0,79749.0,165314.0,162154.0,,62603.0,89639.0,125652.0,225929.0,98744.0,110104.0,127188.0,,136254.0,86245.0,130795.0,,108537.0,162051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,163607.0,99432.0,139366.0,103463.0,141925.0,97351.0,96820.0,100156.0,109019.0,117501.0,163134.0,122593.0,148737.0,159349.0,103989.0,115228.0,97752.0,86923.0,150301.0,105596.0,108831.0,149839.0,85267.0,101103.0,89069.0,80245.0,144180.0,67255.0,148976.0,83741.0,76079.0,71700.0,80081.0,165842.0,162543.0,,62724.0,90062.0,126255.0,225210.0,99101.0,110299.0,127682.0,,136404.0,86697.0,131067.0,,108946.0,162058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-31,164330.0,99565.0,139670.0,103704.0,141675.0,97621.0,97173.0,100747.0,109482.0,117886.0,163645.0,122796.0,149338.0,159983.0,104069.0,115563.0,98085.0,87241.0,150505.0,105836.0,109252.0,150408.0,85603.0,101564.0,89498.0,80567.0,144852.0,67539.0,149151.0,83931.0,76144.0,71814.0,80482.0,166374.0,162777.0,,62805.0,90436.0,126897.0,224653.0,99428.0,110430.0,128130.0,,136381.0,87216.0,131473.0,,109510.0,162225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-31,165102.0,99732.0,139972.0,103958.0,139664.0,97755.0,97478.0,101411.0,109991.0,118362.0,164058.0,122956.0,149791.0,160655.0,104541.0,115889.0,98421.0,87539.0,150774.0,106053.0,109659.0,150968.0,85905.0,102038.0,89856.0,80873.0,145524.0,67864.0,149170.0,84084.0,76279.0,71949.0,80789.0,166841.0,162785.0,,62970.0,90824.0,127394.0,223694.0,99675.0,110697.0,128314.0,,136477.0,87582.0,131906.0,,109840.0,162233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,165966.0,99910.0,140266.0,104253.0,137160.0,97917.0,97769.0,102144.0,110550.0,118931.0,164408.0,123157.0,150342.0,161418.0,104335.0,116265.0,98840.0,87838.0,150892.0,106339.0,110119.0,151589.0,86291.0,102738.0,90285.0,81191.0,146190.0,68197.0,149680.0,84253.0,76498.0,72148.0,81132.0,167233.0,162933.0,,63144.0,91251.0,127824.0,222821.0,99884.0,111142.0,128217.0,,136422.0,88338.0,132585.0,,110084.0,162105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-31,166744.0,100153.0,140486.0,104517.0,133448.0,98017.0,98036.0,102876.0,111086.0,119379.0,164724.0,123297.0,150912.0,162218.0,105148.0,116629.0,99263.0,88040.0,151008.0,106660.0,110579.0,152315.0,86725.0,103387.0,90605.0,81543.0,146638.0,68552.0,150123.0,84277.0,77012.0,72351.0,81366.0,167690.0,163102.0,,63380.0,91599.0,128192.0,222350.0,99941.0,111715.0,128195.0,,136441.0,89097.0,133421.0,,110089.0,161975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-30,167646.0,100381.0,140915.0,104823.0,130518.0,98210.0,98324.0,103530.0,111606.0,119754.0,165160.0,123549.0,151512.0,163007.0,105844.0,117042.0,99689.0,88243.0,151122.0,106888.0,111054.0,153086.0,87195.0,104099.0,91025.0,81836.0,147082.0,68886.0,150641.0,84134.0,77435.0,72657.0,81551.0,167906.0,163560.0,,63600.0,91869.0,128515.0,222160.0,100232.0,112340.0,128322.0,,136554.0,89468.0,133865.0,,110269.0,162196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,168672.0,100618.0,141375.0,105131.0,128358.0,98426.0,98624.0,104096.0,112133.0,120089.0,165632.0,123755.0,152253.0,163966.0,106892.0,117490.0,100090.0,88445.0,151197.0,107126.0,111625.0,153844.0,87617.0,104719.0,91378.0,82130.0,147437.0,69190.0,150853.0,83936.0,77873.0,72917.0,81743.0,168152.0,163939.0,,63877.0,92268.0,128727.0,221823.0,100597.0,112927.0,128601.0,,136897.0,90010.0,134357.0,,110352.0,162839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
