State,Room Size,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23,1/31/24,2/29/24,3/31/24,4/30/24,5/31/24,6/30/24,7/31/24,8/31/24,9/30/24,10/31/24,11/30/24,12/31/24,1/31/25,2/28/25
California,1bedroom,415689.0013,417209.2089,418573.8565,420001.0572,421491.966,423358.0997,425064.786,426791.6388,429167.9599,432007.0815,435171.6579,438197.9139,440051.8575,441769.6631,443302.6499,444873.2635,446486.3495,448456.5695,450251.9297,452054.3262,454495.005,457388.9548,460600.2409,463666.29,465554.1346,467300.8213,468858.4127,470449.9877,472080.9313,474066.3646,475874.6854,477688.1235,480138.2089,483040.1725,486258.2856,489330.151,491222.9506,492973.8586,494535.0463,496129.6849,497763.2386,499750.8955,501561.1107,503376.1626,505827.6229,508730.7578,511949.8688,515022.5843,516916.1081,518667.6331,520229.3464,521824.4328,523458.368,525446.3499,527256.842,529072.1298,531523.7911,534427.0971,537646.354
Texas,1bedroom,117928.7164,118242.1995,118652.2067,119141.0902,119628.8376,120271.5966,120739.0107,121109.8532,121187.9696,121402.1574,121633.3804,122126.8751,122384.2701,122697.9588,123107.833,123596.8019,124084.4941,124727.2886,125194.6799,125565.537,125643.6439,125857.8379,126089.0569,126582.5541,126839.9475,127153.6373,127563.5108,128052.4801,128540.1721,129182.9668,129650.3579,130021.2151,130099.322,130313.516,130544.7349,131038.2322,131295.6256,131609.3154,132019.1888,132508.1582,132995.8501,133638.6448,134106.036,134476.8932,134555.0001,134769.194,135000.413,135493.9103,135751.3037,136064.9934,136474.8669,136963.8363,137451.5282,138094.3229,138561.714,138932.5713,139010.6781,139224.8721,139456.0911
New York,1bedroom,370539.4354,371075.1546,371488.1773,371888.2015,372433.88,372618.1871,372740.1228,372712.6895,373090.8897,373277.7258,373583.2002,373453.3155,374043.5094,374631.6327,375096.7074,375548.434,376145.4676,376380.7848,376553.388,376576.2818,377004.471,377240.9604,377595.7546,377514.8583,378153.7115,378790.1673,379303.2499,379802.6618,380447.0605,380729.4245,380948.7585,381018.0693,381492.3637,381774.6485,382174.9305,382139.2164,382822.9484,383503.9815,384061.3419,384604.7342,385292.8179,385618.5734,385881.0075,385993.1288,386509.9462,386834.4683,387276.7039,387282.6616,388007.7855,388729.9324,389328.1304,389912.0861,390640.4606,391006.2363,391308.4218,391460.0275,392016.0639,392379.5417,392860.4713
Florida,1bedroom,138411.9909,139179.111,140019.6037,140739.631,141425.9776,142059.1675,142757.0797,143332.9106,143853.1766,144442.7218,145331.321,146145.968,147085.8027,148006.2824,148989.2139,149837.1561,150641.6822,151381.4745,152177.5061,152842.1249,153443.8956,154107.3601,155063.6863,155939.8554,156935.9826,157907.6556,158937.3837,159827.9181,160671.3519,161446.5765,162274.9596,162969.0522,163597.7247,164285.7051,165264.4025,166160.963,167175.6942,168164.3274,169209.5274,170114.1678,170970.4686,171757.4253,172596.5094,173300.3596,173937.9316,174634.0274,175620.1262,176523.4361,177544.3229,178538.5695,179588.8888,180498.1979,181358.7563,182149.5958,182992.2209,183699.3003,184339.8173,185038.5987,186027.1468
Illinois,1bedroom,145154.2599,145468.7897,145671.9472,145873.8034,146084.4002,146203.7739,146314.9556,146339.9721,146389.8466,146597.5989,146892.2461,147179.8028,147633.5416,147948.4834,148151.9953,148354.1564,148565.0155,148684.6148,148795.9906,148821.1741,148871.1922,149079.0681,149373.8215,149661.4697,150115.2872,150430.2966,150633.8668,150836.0779,151046.9801,151166.6165,151278.0241,151303.2351,151353.2768,151561.173,151855.9439,152143.6071,152597.4375,152912.458,153116.0377,153318.2571,153529.1664,153648.8088,153760.2217,153785.4372,153835.4828,154043.3822,154338.156,154625.8217,155079.6542,155394.6766,155598.2578,155800.4786,156011.389,156131.0324,156242.4462,156267.6624,156317.7087,156525.6087,156820.3829
Pennsylvania,1bedroom,127395.8983,127841.5579,128414.7071,128891.2659,129306.3294,129698.8983,130145.4195,130559.1878,130938.6434,131340.5929,131732.3728,132168.9714,132558.0165,132972.9095,133514.7746,133959.8226,134343.3615,134704.5469,135119.9378,135502.9093,135851.9586,136223.9318,136586.1922,136993.7453,137354.2293,137741.0506,138255.3351,138673.2919,139030.2261,139365.2882,139755.0316,140112.825,140437.1585,140784.8709,141123.3182,141507.4981,141845.0413,142209.3466,142701.5321,143097.7996,143433.4465,143747.6162,144116.8548,144454.5237,144759.1062,145087.4342,145406.8568,145772.3651,146091.5833,146437.9036,146912.438,147291.382,147610.027,147907.5104,148260.3724,148581.9688,148870.777,149183.6236,149487.8521
Ohio,1bedroom,76484.91223,76799.01052,77155.6269,77530.04914,77945.77763,78388.28082,78771.18115,79088.50334,79405.87887,79806.69072,80247.16864,80669.44946,81028.52648,81342.72139,81699.39437,82073.84975,82489.59764,82932.11218,83315.01915,83632.34523,83949.72304,84350.53621,84791.01491,85213.29619,85572.37348,85886.56854,86243.24161,86617.69705,87033.44496,87475.95953,87858.86651,88176.19259,88493.5704,88894.38358,89334.86228,89757.14356,90116.22084,90430.41591,90787.08898,91161.54442,91577.29233,92019.8069,92402.71388,92720.03996,93037.41777,93438.23095,93878.70965,94300.99093,94660.06821,94974.26328,95330.93635,95705.39179,96121.1397,96563.65427,96946.56125,97263.88733,97581.26514,97982.07832,98422.55702
Michigan,1bedroom,114789.2272,115314.465,115882.8127,116404.363,116883.7317,117318.9777,117892.142,118510.2516,119103.9915,119666.1515,120226.9249,121019.1072,121644.456,122171.1081,122740.3988,123262.5776,123742.3654,124177.8908,124751.2414,125369.4752,125963.2979,126525.5131,127086.3232,127878.5301,128503.8952,129030.5582,129599.8561,130122.0399,130601.8309,131037.3585,131610.7104,132228.9452,132822.7685,133384.9842,133945.7946,134738.0016,135363.3669,135890.03,136459.328,136981.5117,137461.3028,137896.8304,138470.1823,139088.4171,139682.2405,140244.4561,140805.2665,141597.4735,142222.8388,142749.5019,143318.7999,143840.9837,144320.7747,144756.3023,145329.6543,145947.8891,146541.7124,147103.928,147664.7385
Georgia,1bedroom,188454.6339,189123.0571,189370.0659,189497.9491,189741.9818,189917.1869,189892.5147,190040.0108,190348.8289,190780.2222,191363.5318,192160.1768,192707.2789,193350.5417,193575.3631,193683.6806,193910.4596,194070.4497,194032.3604,194168.0248,194466.4092,194888.6017,195463.7977,196253.2879,196794.0805,197431.7794,197651.6943,197755.6852,197978.6488,198135.2743,198094.218,198227.2659,198523.3431,198943.5009,199516.9027,200304.8106,200844.208,201480.6765,201699.5065,201802.5406,202024.6604,202180.5419,202138.8295,202271.2988,202566.8658,202986.5736,203559.5786,204347.1367,204886.2256,205522.422,205741.012,205843.8345,206065.7678,206221.4847,206179.6272,206311.9686,206607.4227,207027.0311,207599.9484
North Carolina,1bedroom,130752.5519,131361.7412,131891.5315,132385.385,132972.5937,133591.8525,134246.145,134802.9143,135303.6722,135742.8624,136280.8068,136785.7968,137385.3591,137992.9863,138522.304,139015.3455,139602.3307,140221.1667,140875.3547,141431.9035,141932.6133,142371.6882,142909.611,143414.5406,144014.0935,144621.689,145151.0028,145644.0276,146231.0112,146849.8384,147504.026,148060.5701,148561.2798,149000.3523,149538.2751,150043.2033,150642.7563,151250.3511,151779.6649,152272.6894,152859.673,153478.5001,154132.6876,154689.2316,155189.9413,155629.0138,156166.9366,156671.8648,157271.4178,157879.0126,158408.3264,158901.3509,159488.3345,160107.1615,160761.3491,161317.8931,161818.6028,162257.6752,162795.5981
New Jersey,1bedroom,238067.9575,238792.6292,239610.8449,240491.1983,241243.9469,241773.1456,242106.6809,242367.2974,242881.6212,243496.1781,244265.41,244850.6883,245345.2825,246077.2114,246901.5253,247787.0029,248544.0573,249076.8741,249413.4495,249676.6207,250193.0911,250809.4518,251580.1994,252166.7513,252662.4157,253395.2439,254220.3134,255106.426,255864.0139,256397.279,256734.2312,256997.7189,257514.4553,258131.0395,258901.9749,259488.6846,259984.4816,260717.4213,261542.5844,262428.7757,263186.4297,263719.7504,264056.7492,264320.2762,264837.0455,265453.6574,266224.6161,266811.3454,267307.1588,268040.1123,268865.287,269751.488,270509.1502,271042.4778,271379.4824,271643.0142,272159.7877,272776.403,273547.3645
Virginia,1bedroom,224216.2331,225155.9618,225938.2694,226710.7201,227667.4175,228788.4654,229946.9536,231148.9593,232284.5495,233128.7814,233789.7047,234196.3621,235249.0233,236189.9827,236973.3508,237746.7154,238704.2003,239825.9268,240984.9996,242187.5093,243323.5336,244168.1398,244829.3855,245236.3207,246289.2213,247230.3871,248013.9329,248787.4507,249745.0676,250866.9078,252026.0787,253228.6729,254364.77,255209.4389,255870.7386,256277.7204,257330.6612,258271.8615,259055.4372,259828.9806,260786.6197,261908.479,263067.6663,264270.2746,265406.3839,266251.0633,266912.3721,267319.3617,268372.3092,269313.5153,270097.096,270870.6437,271828.2865,272950.149,274109.3391,275311.9498,276448.0611,277292.7423,277954.0526
Washington,1bedroom,327585.0287,328470.468,329546.7794,330999.5533,332621.952,334024.2577,335394.3295,337307.9872,339551.3351,342118.0337,344648.5287,347420.244,348085.7717,349079.3339,350246.623,351775.9482,353462.7593,354919.2636,356334.9396,358286.9701,360562.6059,363156.4725,365709.8275,368500.7778,369182.4904,370189.671,371368.4191,372907.3862,374602.3104,376065.6411,377487.0611,379443.9248,381723.6274,384320.9159,386877.1502,389670.5232,390354.2744,391363.1703,392543.3617,394083.5432,395779.4892,397243.6798,398665.8233,400623.2957,402903.5105,405501.23,408057.827,410851.5051,411535.5131,412544.625,413724.9982,415265.3327,416961.4074,418425.7063,419847.9409,421805.49,424085.7693,426683.5431,429240.1857
