State,Room Size,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
CA,1bedroom,415705.15613320516,417242.10371596605,418692.34870218247,420228.06804188027,421838.3713455702,423765.7146615108,425575.6838139274,427409.12069249403,429774.45495868346,432519.0487763069,435535.2111672918,438450.84980175743,440367.330855867,442149.58739663125,443823.4412672814,445553.3969312094,447330.76220229623,449378.8875852103,451303.5589313853,453235.62799932575,455643.7072180346,458389.8871050653,461379.2022273754,464273.96641873004,466219.42365742626,468026.3852332914,469723.89964127407,471473.031339198,473265.23382334295,475316.4961659859,477246.3906902188,479181.76365850394,481576.664751265,484298.0597249554,487255.1848457278,490122.2991056806,492059.99027340807,493859.59522670007,495551.10401101597,497294.1741263717,499080.1466871126,501122.2465980508,503044.8172265892,504973.16356864735,507356.0526835564,510062.0904288506,513001.92364655057,515853.984148816,517784.24892810977,519577.07087920816,521262.7217150929,523000.3112124054,524781.0981380254,526817.2866769203,528734.8828128686,530658.6132987491,533035.3398613781,535734.2274186696,538666.4028335363
TX,1bedroom,118030.94444752141,118393.4712836856,118743.99608520504,119096.61964946463,119434.2696351202,119760.15985840172,120101.41127648087,120466.30357356321,120860.32784249505,121283.22657152763,121637.92565389356,121968.39428488203,122306.49159843136,122642.23875695792,122982.57621991924,123328.34957990042,123663.24733477132,124000.6763163696,124336.71715313576,124684.5392215581,125031.70664224446,125417.80696372705,125744.16247697808,126073.47201420803,126397.30405482026,126719.45150562444,127044.81631752843,127375.49552606083,127695.10329400167,128016.0799374315,128337.43994665315,128671.88789155216,129008.68139041399,129383.63673829215,129698.22571634085,130013.3733096836,130324.45703114018,130633.96497054536,130946.98981286987,131265.50814974145,131573.13913337162,131882.41248740695,132192.06318933505,132514.837807734,132839.83182500268,133203.21634635405,133506.44711507775,133810.61503408407,134110.73546035355,134409.41808034945,134711.7357306206,135019.6746113638,135316.85164009748,135615.78634196246,135915.23841411414,136227.9487533024,136543.02650032047,136896.6075402064,137190.1474955729
NY,1bedroom,370434.8626967783,370835.3735120831,371120.8713114004,371406.6927322594,371842.98421017645,371957.54988105944,372019.2479783686,371952.828960092,372264.3207362318,372392.79304292635,372621.44948676386,372451.1275980868,372875.71186739265,373269.1999998821,373549.558867021,373831.3870384938,374265.185097123,374375.05952417396,374432.42360824434,374360.66309618996,374670.26383797853,374796.7089259882,375025.62356853025,374852.53177651606,375276.6545930031,375669.8142021476,375949.86678329745,376231.4403851722,376664.96946041356,376774.88610618963,376832.3400466772,376760.8302745542,377070.4056868293,377196.87984210625,377425.639361621,377252.70670304913,377676.7902557777,378069.91476492764,378349.94353743206,378631.49911039456,379065.0200614693,379174.9058082834,379232.3297545969,379160.7790292597,379470.34319213266,379596.8036868826,379825.56925826205,379652.6145339236,380076.6962836496,380469.8197127021,380749.84722433577,381031.4016992164,381464.92117891135,381574.8080728831,381632.233442147,381560.6854702699,381870.24979314767,381996.71086090826,382225.4752779838
FL,1bedroom,138284.6590261506,138925.08661716097,139559.40456340957,140192.71999364803,140826.76488948477,141458.47914597162,142086.53836588492,142714.5523496399,143346.1249958633,143973.34639206203,144557.1011182522,145138.89146559138,145731.0700678741,146326.67915269625,146918.06416570596,147508.05120793782,148098.2475196485,148686.7763709295,149273.95808182203,149859.517858639,150447.82229424937,151034.84367799875,151587.75334795378,152137.88324302496,152698.7760092403,153263.39511177322,153824.1262206432,154383.8484628716,154944.16770057465,155503.1728421881,156061.13824794904,156617.8828647134,157177.7497067889,157736.60875065523,158261.4683433081,158783.9131214617,159317.45156285504,159855.04505750936,160389.0742437269,160922.41294146536,161456.66312719687,161989.9107035705,162522.42736422882,163054.0259068983,163589.0462049246,164123.35712696085,164623.96748875565,165122.451940767,165632.316262581,166146.51837806366,166657.43557606233,167167.93837556147,167679.62545719248,168190.57944608355,168701.06878984682,169210.90316771157,169724.4192976582,170237.48288026467,170717.09956156413
IL,1bedroom,145114.65050104813,145414.30487864368,145621.23124249556,145827.21802886343,146039.89421268288,146178.7000204682,146311.79732654482,146375.4605985403,146459.92034754402,146672.92523313456,146959.74445185106,147241.79988435164,147646.3626064552,147947.4360962168,148163.01380337475,148377.0559020245,148596.22661714785,148748.45545314456,148895.51961490329,148979.93112152186,149082.95314615872,149301.4187944777,149587.68727853603,149869.8995654116,150272.58652752754,150576.13016613567,150797.12519385119,151016.15572713153,151239.48496716062,151398.74025754773,151552.94352575924,151647.32491398157,151759.2693679757,151980.88557677472,152267.61713992644,152550.52758959008,152952.9665961672,153258.08941803017,153481.88999410003,153703.49340616819,153928.99368574683,154091.62638385876,154249.22218337088,154348.19365395344,154464.24667485963,154687.44352027882,154974.5681278723,155257.95392253913,155660.4402454113,155966.38705054432,156191.52931528297,156414.36072663218,156640.903246156,156805.0911514349,156964.23948071842,157065.27462210727,157183.1750149577,157407.1160708609,157694.46377752387
PA,1bedroom,127433.745044739,127855.92842055838,128216.24136002983,128596.87794245039,128987.86162762485,129381.01171149743,129749.60231921564,130126.22541457604,130510.01982293419,130886.73082161928,131255.2077575029,131607.48978295253,131962.5089248411,132322.45527063965,132697.69054291127,133064.93520552813,133426.50252666857,133787.89958032267,134155.22236820305,134520.29559739272,134881.2096168432,135246.7324770923,135604.7862880275,135968.00785090032,136330.6571231031,136685.44437691153,137030.20128458567,137376.71438974096,137723.2062182549,138070.62832678226,138414.1590796613,138759.1743261202,139104.108934576,139450.0717274452,139788.6141734827,140125.5203155627,140463.24979326304,140797.66111744134,141130.7484661535,141462.63500643312,141792.89975942383,142124.005364987,142454.75675227147,142786.02040064838,143116.1131176059,143448.68699310193,143774.08330148773,144100.36128781317,144427.25083212735,144749.56035726916,145067.89674752636,145386.25809691372,145703.7692280397,146022.3872221383,146339.7080829575,146658.09464014252,146975.8999605985,147295.92752877378,147608.91809534025
OH,1bedroom,76575.94609970246,77036.65445827394,77473.78651616593,77896.2699530989,78296.02820382392,78680.85942943825,79093.50971822596,79538.70215773932,79982.89835796785,80388.18821142198,80770.01984577278,81160.32515768718,81544.17964826571,81922.39453148162,82312.03145569855,82705.54425952141,83107.05139929116,83513.57998527175,83911.08670291497,84299.2027310692,84687.18970832501,85089.65468379353,85496.2245639045,85899.76943647448,86311.80387228788,86725.32295534335,87135.06271682221,87540.6323879479,87940.85353238811,88337.431653073,88740.98984277016,89153.37094458801,89565.24645725195,89968.41266740045,90363.71189715453,90760.98068298181,91160.24981820512,91557.90931324493,91958.39230364587,92358.20008460994,92758.45491860014,93158.83025441112,93559.23536107046,93960.5524480035,94361.52761831584,94763.86498527005,95163.5354689325,95563.00624961623,95967.29608524565,96371.32040409205,96775.30041630527,97177.08734525047,97576.80414766668,97975.0068925365,98376.25838503621,98781.85808462204,99187.04489987898,99589.21949171976,99986.46866767887
MI,1bedroom,114927.86285978984,115689.0012357103,116422.5624534013,117153.19459191582,117890.13503619078,118633.30808329498,119333.09168003478,120012.5612779548,120697.5978007716,121399.90946318764,122076.14954773942,122672.8503760193,123280.00132002453,123885.87954573166,124504.94426160892,125120.2843496311,125735.507438741,126347.1652143651,126975.27157474392,127605.84054631398,128234.54183570255,128866.69132172554,129481.27078146498,130112.91949346231,130743.56160337034,131373.24370487078,132003.67350225625,132630.76602103276,133259.86564044634,133888.56414764194,134515.3819092203,135137.77090563194,135760.7245283508,136391.53079654765,137002.27912703872,137600.4143301403,138201.21341063833,138801.08960644636,139405.68550369944,140006.9566327568,140609.71055452022,141211.2172586582,141816.6301844833,142419.8702917769,143023.0525118939,143632.85541681986,144223.4949535793,144810.80858633466,145399.77842265516,145987.93837252047,146579.71580910948,147168.28760447082,147758.62627764617,148348.10041589555,148939.8154830327,149528.78155171193,150118.0012616391,150714.34058064243,151291.35841338406
GA,1bedroom,188362.53795098703,189017.04345527984,189426.10929629597,189754.21809354378,190152.13887072838,190500.99389073503,190743.87572506306,191093.3641012094,191528.27039667903,192030.791891302,192608.97531063017,193325.09415968193,193811.98862342088,194469.4430633777,194911.20761967456,195278.8215114119,195708.06146832753,196091.90922773324,196386.73793165878,196776.39223658844,197237.78163118233,197756.83758440733,198337.75023174274,199042.92662096396,199538.97577222207,200204.7703338341,200659.54938791844,201040.78379632285,201481.60708396445,201877.1832153353,202186.31894191785,202587.7309081552,203058.02378599573,203583.8348087958,204168.69149945406,204875.05333894287,205375.62961184673,206045.55508064388,206505.0778195896,206890.9566456802,207335.86768078603,207735.383916749,208048.76492143463,208453.81867066797,208927.10756860577,209455.40727447643,210042.13659971152,210749.77402740117,211252.13489449618,211923.6895781655,212384.8749405938,212772.32837567138,213218.6498097107,213619.4913647112,213934.19913392875,214340.42227578955,214814.71982301216,215343.89619961445,215931.35419188655
NC,1bedroom,130672.30245848978,131190.251826208,131736.24357668168,132284.9598177674,132809.6965692841,133320.34017307564,133827.14431526145,134355.40728776422,134896.89632820454,135453.99076939662,135960.01225935205,136472.6757002518,136996.33011268347,137522.92756999153,138039.2782553742,138550.47548736286,139061.5881237233,139571.6566200997,140084.79906739484,140590.33713677013,141090.2044157576,141586.93289982845,142069.87920527812,142550.05910433555,143041.91754744755,143535.73218532497,144029.32733746717,144520.10456546396,145005.09680270843,145486.0824214841,145968.72673574442,146451.44234254584,146933.58909022014,147417.65668671107,147878.83274042094,148339.9347142968,148812.8517885759,149288.281369561,149761.25996938284,150231.13013654153,150696.95283435384,151159.81093165596,151624.97527858338,152088.55703661186,152550.56342393326,153013.49161731233,153456.1078936045,153898.2431600248,154352.42956992172,154809.25534033356,155264.45868471253,155716.88847235817,156165.0900175619,156610.31906932374,157057.94329008934,157504.65275945104,157950.28820338912,158397.34210248658,158823.67328826655
