,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY,CA_forecast,TX_forecast,NY_forecast,FL_forecast,IL_forecast,PA_forecast,OH_forecast,MI_forecast,GA_forecast,NC_forecast,NJ_forecast,VA_forecast,WA_forecast,MA_forecast,IN_forecast,AZ_forecast,TN_forecast,MO_forecast,MD_forecast,WI_forecast,MN_forecast,CO_forecast,AL_forecast,SC_forecast,LA_forecast,KY_forecast,OR_forecast,OK_forecast,CT_forecast,IA_forecast,MS_forecast,AR_forecast,KS_forecast,UT_forecast,NV_forecast,NM_forecast,WV_forecast,NE_forecast,ID_forecast,HI_forecast,ME_forecast,NH_forecast,RI_forecast,MT_forecast,DE_forecast,SD_forecast,AK_forecast,ND_forecast,VT_forecast,DC_forecast,WY_forecast
1996-01-31,150497.0,87800.0,97869.0,100404.0,123513.0,90101.0,88437.0,92315.0,91631.0,102417.0,151256.0,101004.0,136946.0,146785.0,97960.0,100000.0,94430.0,83475.0,130926.0,97844.0,99676.0,134122.0,83400.0,93605.0,80858.0,76282.0,126721.0,64712.0,143979.0,81939.0,74706.0,79129.0,74064.0,148824.0,145343.0,,64798.0,86984.0,119468.0,251647.0,99983.0,109238.0,125706.0,,117976.0,96472.0,119033.0,,110929.0,164592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,150270.0,87843.0,97648.0,100515.0,123269.0,90046.0,88549.0,92648.0,91775.0,102635.0,150980.0,100978.0,136945.0,146791.0,97907.0,100287.0,94630.0,83659.0,130899.0,98018.0,99519.0,134555.0,83501.0,93735.0,81192.0,76438.0,127180.0,64820.0,143800.0,82085.0,74682.0,79142.0,74209.0,149126.0,145309.0,,64807.0,87305.0,119375.0,250675.0,99639.0,108968.0,125816.0,,117922.0,96871.0,119426.0,,110933.0,163714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,150140.0,87889.0,97517.0,100640.0,122952.0,89991.0,88705.0,92976.0,91918.0,102834.0,150797.0,100998.0,136964.0,146912.0,97489.0,100620.0,94871.0,83807.0,130879.0,98171.0,99460.0,134910.0,83554.0,93765.0,81434.0,76569.0,127580.0,64981.0,144044.0,82219.0,74759.0,79235.0,74355.0,149425.0,145452.0,,64803.0,87544.0,119323.0,249859.0,99440.0,108800.0,125817.0,,117883.0,96898.0,119824.0,,110858.0,162971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,149882.0,88035.0,97340.0,100874.0,122602.0,89899.0,89024.0,93672.0,92232.0,103242.0,150441.0,101014.0,137018.0,147121.0,97219.0,101228.0,95334.0,84100.0,130905.0,98530.0,99403.0,135626.0,83634.0,93954.0,81985.0,76861.0,128383.0,65248.0,144207.0,82498.0,74824.0,79367.0,74650.0,149988.0,145596.0,,64816.0,88017.0,119173.0,248135.0,98982.0,108530.0,125832.0,,117784.0,96976.0,120597.0,,110735.0,161744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,149724.0,88183.0,97274.0,101094.0,122083.0,89813.0,89361.0,94370.0,92549.0,103630.0,150189.0,100990.0,137140.0,147352.0,97092.0,101801.0,95817.0,84369.0,130993.0,98921.0,99483.0,136254.0,83702.0,94093.0,82292.0,77118.0,129163.0,65520.0,144338.0,82705.0,74996.0,79532.0,74862.0,150600.0,145863.0,,64808.0,88353.0,119053.0,246209.0,98649.0,108590.0,125658.0,,117903.0,96984.0,121199.0,,110563.0,160837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,149597.0,88300.0,97248.0,101331.0,121789.0,89770.0,89661.0,95078.0,92892.0,104065.0,149955.0,100963.0,137467.0,147580.0,97156.0,102324.0,96320.0,84646.0,131080.0,99431.0,99701.0,136874.0,83845.0,94357.0,82582.0,77377.0,129956.0,65728.0,144417.0,82904.0,75113.0,79685.0,75025.0,151163.0,146030.0,,64818.0,88691.0,118916.0,243980.0,98299.0,108806.0,125403.0,,118131.0,97139.0,121707.0,,110305.0,160226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,149530.0,88389.0,97171.0,101563.0,121339.0,89739.0,89928.0,95727.0,93210.0,104525.0,149827.0,100950.0,137856.0,147919.0,97118.0,102802.0,96838.0,84931.0,131100.0,99947.0,99938.0,137487.0,84082.0,94541.0,82738.0,77634.0,130754.0,65930.0,144536.0,83061.0,75323.0,79852.0,75119.0,151697.0,146289.0,,64822.0,89052.0,118835.0,241661.0,98041.0,109149.0,125162.0,,118518.0,97315.0,122169.0,,110018.0,159645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,149530.0,88497.0,97089.0,101777.0,121778.0,89772.0,90218.0,96321.0,93524.0,104968.0,149812.0,101033.0,138331.0,148364.0,96858.0,103244.0,97342.0,85246.0,131057.0,100445.0,100299.0,138113.0,84341.0,94779.0,83057.0,77903.0,131516.0,66096.0,144826.0,83237.0,75453.0,80050.0,75258.0,152119.0,146740.0,,64811.0,89404.0,118825.0,240077.0,97869.0,109413.0,125089.0,,118810.0,97272.0,122480.0,,109792.0,159086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,149568.0,88644.0,97002.0,101934.0,122364.0,89798.0,90520.0,96861.0,93823.0,105365.0,149875.0,101158.0,138719.0,148791.0,96872.0,103656.0,97748.0,85594.0,131068.0,100858.0,100618.0,138712.0,84550.0,94936.0,83337.0,78167.0,132233.0,66236.0,144765.0,83390.0,75623.0,80222.0,75398.0,152563.0,147224.0,,64758.0,89735.0,118858.0,238839.0,97798.0,109671.0,125258.0,,119211.0,97182.0,122760.0,,109703.0,158741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,149700.0,88818.0,96952.0,102083.0,123655.0,89870.0,90826.0,97402.0,94147.0,105782.0,149981.0,101307.0,139182.0,149299.0,96189.0,104068.0,98113.0,85997.0,131129.0,101268.0,101019.0,139280.0,84749.0,95182.0,83707.0,78401.0,133032.0,66361.0,144676.0,83640.0,75911.0,80430.0,75593.0,152988.0,147677.0,,64717.0,90136.0,118934.0,237648.0,97866.0,109968.0,125429.0,,119572.0,96907.0,122768.0,,109821.0,158240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
