State,Room Size,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
CA,1bedroom,415689.00133113685,417209.2089123926,418573.8564638068,420001.0572403066,421491.96597337734,423358.09972935094,425064.78604881745,426791.63880336686,429167.95987408754,432007.0814993814,435171.65792467643,438197.91386706405,440051.85752028215,441769.6631421928,443302.64989673434,444873.2634682984,446486.34950413683,448456.56946319214,450251.929680564,452054.3261665294,454495.0050188642,457388.9548076158,460600.2408526764,463666.2900042662,465554.13458638405,467300.8213416164,468858.41272762424,470449.9876611561,472080.93125751696,474066.3645633148,475874.6854490165,477688.12348464207,480138.2089366826,483040.1724663264,486258.28563756385,489330.15100563254,491222.95058246615,492973.8586339177,494535.04625822505,496129.6849260307,497763.2386018465,499750.89550608746,501561.1107364331,503376.16261633957,505827.6229466902,508730.75777296396,511949.8688040014,515022.5842762665,516916.1080802358,518667.63312069443,520229.3463748989,521824.43284126435,523458.36800898396,525446.3499166656,527256.8420263772,529072.1297874274,531523.7910714091,534427.0970956058,537646.3539748603
TX,1bedroom,117928.7163723257,118242.1994527402,118652.2066845109,119141.09020759189,119628.83755062161,120271.59663127386,120739.01074597686,121109.85317291485,121187.96957819937,121402.15741278403,121633.38035209007,122126.87505749492,122384.27007939837,122697.95881272407,123107.83297266094,123596.80190107432,124084.49409803489,124727.28862698875,125194.67987941361,125565.53701506165,125643.64394006126,125857.83787678042,126089.05688442165,126582.55412116079,126839.94751241413,127153.63729575505,127563.5107793581,128052.48014331322,128540.17205974968,129182.96676936166,129650.35790543177,130021.21511601428,130099.3219927524,130313.51596055318,130544.73494817651,131038.2321978078,131295.6255807581,131609.3153694464,132019.18884960553,132508.1582157787,132995.85013078668,133638.6448413187,134106.03597679627,134476.89318776038,134555.00006425276,134769.19403221182,135000.41301973318,135493.91026943014,135751.30365233816,136064.99344105375,136474.86692119532,136963.83628737976,137451.52820238046,138094.32291291715,138561.7140483917,138932.57125935776,139010.67813584887,139224.87210380874,139456.0910913296
NY,1bedroom,370539.4354254562,371075.1546359511,371488.17729664204,371888.20148441877,372433.88003676577,372618.18707176717,372740.12279368023,372712.6895105823,373090.8896860787,373277.7257811209,373583.20024125825,373453.31549570436,374043.5093828186,374631.6326588789,375096.70736963884,375548.4339565929,376145.46760594676,376380.7847687284,376553.3879664678,376576.28180894937,377004.4710460237,377240.9604095305,377595.7546006529,377514.8582890864,378153.71153862216,378790.16731602105,379303.24986267096,379802.66180095205,380447.06048330566,380729.42451244436,380948.75854712905,381018.06932001835,381492.36368957756,381774.6484820962,382174.9304791385,382139.21641680633,382822.94841141655,383503.98146846815,384061.34185439226,384604.7342030094,385292.8178646898,385618.5734266542,385881.00751884095,385993.1288318452,386509.9461689164,386834.46828806493,387276.7038895994,387282.6616154776,388007.7854750697,388729.932354212,389328.13038704183,389912.0860625403,390640.4605737762,391006.2363382908,391308.4218040481,391460.0274674569,392016.0639254498,392379.5417176715,392860.47131409746
FL,1bedroom,138411.99086978694,139179.11097004163,140019.60369589212,140739.63097883092,141425.97759615708,142059.1675437617,142757.07969297096,143332.91060531797,143853.17662994083,144442.72182593498,145331.32103371673,146145.96801887164,147085.8027233706,148006.2823885994,148989.2138786923,149837.15612660427,150641.68217535608,151381.47447748596,152177.50611105518,152842.1249314283,153443.89560748855,154107.3600780115,155063.68629275457,155939.85544757487,156935.9825657256,157907.65555944204,158937.38373404447,159827.9181357622,160671.35185679496,161446.5764566453,162274.95959614654,162969.05220605835,163597.72469537627,164285.70513988961,165264.4025079819,166160.96299656763,167175.69423988395,168164.32740552336,169209.5273545559,170114.1678392597,170970.46858405558,171757.42530736077,172596.5093672446,173300.35956687556,173937.93160018278,174634.02736102964,175620.12618114817,176523.43608578623,177544.32289405275,178538.56945227302,179588.88881467236,180498.19786582372,181358.75629432368,182149.59578077853,182992.22085140814,183699.30027156288,184339.8172794989,185038.5987194366,186027.14680694466
IL,1bedroom,145154.2599330035,145468.7897041231,145671.94718376716,145873.80340384485,146084.40021811312,146203.77388115996,146314.9555778335,146339.97213501035,146389.84663056995,146597.59891730917,146892.2460736403,147179.80279130544,147633.5416419116,147948.4834029581,148151.99529784796,148354.15640442466,148565.015497978,148684.61478735987,148795.9905795871,148821.17410789328,148871.19224073619,149079.068091766,149373.82154455144,149661.46970397647,150115.28721755886,150430.2966486046,150633.86675676092,150836.07794142887,151046.98011477094,151166.61646363634,151278.02413636624,151303.23508994537,151353.27681543998,151561.1729621006,151855.9438742473,152143.60705312647,152597.4374872275,152912.45803317797,153116.03770295568,153318.25711302957,153529.16636229533,153648.8087982397,153760.22170739277,153785.43716561652,153835.4827662416,154043.3822464918,154338.1560263663,154625.8216722147,155079.6542285314,155394.67660012262,155598.25784041185,155800.47860152173,156011.38901301916,156131.03244877592,156242.4462180198,156267.66241613854,156317.70865325994,156525.60868105752,156820.3829319609
PA,1bedroom,127395.89825349928,127841.55789007172,128414.70713653925,128891.26585284767,129306.32939139071,129698.89830117465,130145.41953107067,130559.18782637268,130938.64343402306,131340.59290242533,131732.37284233284,132168.97138332366,132558.01650760134,132972.9094819193,133514.7746286023,133959.82261032233,134343.3615441788,134704.54691905438,135119.9377895131,135502.90928958321,135851.95858240072,136223.9317737634,136586.19220650644,136993.7452784427,137354.22926838623,137741.050615618,138255.33506032042,138673.291943166,139030.2260712268,139365.2881921267,139755.03160009984,140112.82495467516,140437.15845568516,140784.8709232096,141123.3182146131,141507.49813273078,141845.04131810664,142209.34657686568,142701.53205635917,143097.79957019028,143433.44648232398,143747.6161940849,144116.85475910193,144454.5237079545,144759.1062269853,145087.4342404593,145406.85682864973,145772.36513621756,146091.5832640206,146437.90359610497,146912.43797414567,147291.3820210368,147610.02702340554,147907.51041690446,148260.37239937956,148581.96875369592,148870.77702470744,149183.6235995647,149487.85212395317
OH,1bedroom,76484.91222525723,76799.01052054741,77155.62690019663,77530.0491407937,77945.77762633539,78388.28081704518,78771.18114627081,79088.50333652474,79405.87887018982,79806.6907151384,80247.16863565089,80669.44946133585,81028.5264808127,81342.72138830798,81699.39436871515,82073.8497526105,82489.59763862377,82932.11218245214,83315.0191542406,83632.34523043751,83949.72303717805,84350.53621166185,84791.01490978649,85213.29619026017,85572.37347571414,85886.56853875949,86243.2416101349,86617.69704722942,87033.44496435387,87475.95952637613,87858.86650880438,88176.19259122344,88493.57040160267,88894.38357821437,89334.8622775834,89757.14355878478,90116.22084466432,90430.41590795854,90787.08897947948,91161.54441665912,91577.29233383333,92019.80689588471,92402.71387832999,92720.039960759,93037.41777114404,93438.23094775913,93878.70964713015,94300.9909283327,94660.06821421292,94974.26327750753,95330.9363490287,95705.39178620846,96121.13970338275,96563.65426543418,96946.56124787948,97263.8873303085,97581.26514069356,97982.07831730865,98422.55701667967
MI,1bedroom,114789.22723966405,115314.4649623183,115882.81272513692,116404.36297462245,116883.7316584222,117318.9776945567,117892.14196580976,118510.25163785298,119103.99152504312,119666.15152034095,120226.92489754692,121019.10718035586,121644.45596278494,122171.10806121095,122740.39875049643,123262.57762381707,123742.3653943006,124177.89082430904,124751.241359979,125369.47520952304,125963.29788252895,126525.51306891414,127086.3232405407,127878.53005320493,128503.89518903191,129030.55818983055,129599.85614743603,130122.03986635106,130601.83086726267,131037.35845091102,131610.71042235507,132228.94522909124,132822.76854023154,133384.98415204385,133945.7946072913,134738.00160903795,135363.36687092113,135890.02995575807,136459.32796938965,136981.51172565576,137461.30275146835,137896.83035171754,138470.1823342289,139088.41714834337,139682.24046440257,140244.45607949418,140805.26653692784,141597.473540132,142222.83880298684,142749.50188847157,143318.799902535,143840.98365908902,144320.77468509355,144756.30228547068,145329.65426806736,145947.8890822387,146541.71239833583,147103.92801345274,147664.73847090325
GA,1bedroom,188454.63387292952,189123.0570767168,189370.0658589759,189497.94907798726,189741.98180132904,189917.18689216228,189892.51474714724,190040.010831707,190348.8289403975,190780.22217038527,191363.5317690518,192160.17680751003,192707.27887146862,193350.54166453684,193575.36306050268,193683.6806167756,193910.45961075372,194070.44972109116,194032.36044018576,194168.02479511892,194466.4092444129,194888.60168534965,195463.79768590606,196253.28785167594,196794.0804826935,197431.7793830453,197651.6943314034,197755.6851996263,197978.64875910303,198135.27427733992,198094.2179739371,198227.26589804085,198523.34308128245,198943.50088916998,199516.90267460296,200304.81063472136,200844.20801792783,201480.67653684816,201699.50648908239,201802.54056735482,202024.66039385487,202180.54187696095,202138.8294556972,202271.29879065967,202566.86575246946,202986.5736281151,203559.57864655697,204347.1367227805,204886.22556535067,205522.42200165833,205741.0120213216,205843.83451812604,206065.76776421547,206221.48471377356,206179.62720070552,206311.9685883167,206607.4227213917,207027.03110046108,207599.94837912012
NC,1bedroom,130752.5519007503,131361.74115999194,131891.53154275205,132385.3849616945,132972.59370101208,133591.85246651032,134246.14501822868,134802.91431167882,135303.6721811924,135742.862368261,136280.80684884186,136785.79675349864,137385.359095345,137992.98631650538,138522.30404110622,139015.34551704695,139602.33066861646,140221.16665837012,140875.35472163992,141431.9034830925,141932.61328083725,142371.68821956537,142909.61103940004,143414.540601808,144014.09346140947,144621.68902688762,145151.00277363998,145644.02761001457,146231.01120385388,146849.83842953268,147504.02595705897,148060.57009305933,148561.27975977812,149000.35225229966,149538.27508353107,150043.20334957782,150642.7562580441,151250.351135104,151779.66493048737,152272.68940053578,152859.67303224152,153478.50006259207,154132.68761663267,154689.23164827342,155189.94133248695,155629.0137691415,156166.93661148712,156671.8648475687,157271.4177629132,157879.0126238705,158408.32642342988,158901.35088480928,159488.33451901382,160107.16154468906,160761.34910020794,161317.8931293229,161818.6028144031,162257.67524969086,162795.59809254078
