State,Room size,weight,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
AK,1bedroom,33,168168.8692,168474.3828,168818.5711,169073.2143,169283.9427,169577.1398,169929.2457,170170.8068,170391.5115,170685.8656,171030.1062,171274.8471
AK,2bedroom,35,215089.776,215464.0912,215839.2365,216216.3013,216587.5233,216965.1997,217339.7097,217711.6637,218088.1468,218460.9509,218834.797,219208.8119
AK,3bedroom,44,247613.3236,248015.2728,248434.4579,248849.2077,249205.553,249619.9142,250030.3024,250420.0401,250782.7581,251211.0957,251604.5069,251982.5691
AK,4bedroom,37,328562.9481,329030.0705,329503.9818,329979.9304,330448.1913,330915.304,331386.2065,331859.7345,332328.1735,332794.214,333263.2489,333734.1855
AK,5bedroomOrMore,26,401115.4154,401698.3295,402280.6588,402861.913,403436.257,404016.5882,404598.1016,405176.8233,405753.2881,406330.8858,406911.264,407488.7964
AK,AllHomes,53,243158.5016,243555.7543,243946.2889,244356.9884,244760.778,245152.6836,245552.2739,245963.7367,246358.935,246753.3492,247160.5957,247565.5859
AL,1bedroom,108,109624.4643,109474.54,109305.9658,109121.4573,109061.5904,108988.0478,108988.604,108980.2691,108975.2068,108969.2075,108943.8983,108923.4115
AL,2bedroom,352,90796.70934,90944.98776,91046.70548,91126.87156,91257.63508,91356.23806,91425.52354,91518.71633,91573.89479,91615.89584,91690.92944,91736.37181
AL,3bedroom,483,124778.7351,124998.6012,125222.8908,125489.1914,125692.5697,125853.5886,126054.2404,126261.8357,126406.376,126553.7685,126737.4492,126896.1161
AL,4bedroom,413,188043.0484,188272.7255,188496.164,188704.641,188892.5928,189101.7034,189294.5389,189485.0186,189670.4772,189826.2329,189990.1706,190143.4649
AL,5bedroomOrMore,292,269904.0944,270100.4046,270300.8359,270505.45,270655.0736,270803.2459,270967.571,271167.3925,271346.6353,271499.6452,271631.9319,271793.9709
AL,AllHomes,580,118265.4554,118340.1747,118494.5921,118717.8212,118964.6885,119135.5416,119240.3173,119328.9053,119473.6384,119663.91,119851.6093,119984.4084
AR,1bedroom,100,84064.35643,84106.17346,84153.88251,84188.50329,84218.79518,84243.29156,84260.94197,84274.37815,84285.5339,84293.39103,84299.40271,84304.22439
AR,2bedroom,308,84779.2159,84970.77456,85149.04425,85337.46127,85515.86147,85692.89911,85846.28405,85979.79096,86134.64304,86280.04027,86395.84645,86518.47173
AR,3bedroom,434,115334.8372,115566.4451,115769.2452,115960.7486,116143.3817,116317.0773,116489.6618,116650.55,116801.4835,116948.2343,117086.0349,117218.5109
AR,4bedroom,316,171824.9599,172087.1552,172335.7668,172576.1087,172809.9939,173033.4762,173247.0792,173446.4828,173633.9975,173806.4893,173967.5641,174114.8028
AR,5bedroomOrMore,185,262968.7242,263139.8702,263314.3242,263483.859,263643.4596,263804.5524,263964.8483,264121.5952,264273.5872,264423.6537,264572.69,264718.4815
AR,AllHomes,591,94233.02374,94458.14609,94630.99386,94833.16524,95044.97377,95208.00787,95383.53746,95524.3032,95680.98284,95855.46042,95982.76195,96117.68287
AZ,1bedroom,119,165350.3901,165656.4739,165939.8655,166191.8771,166431.0083,166647.863,166838.6991,167012.3458,167174.4697,167324.8125,167460.5276,167581.2351
AZ,2bedroom,169,193471.3862,194134.6277,194770.6013,195360.8004,195897.9797,196418.8322,196891.9687,197312.6632,197718.6009,198081.6264,198396.0442,198700.0067
AZ,3bedroom,172,244195.6838,244881.2258,245551.6082,246144.1805,246680.8468,247185.4427,247609.0244,248015.5244,248358.0934,248661.8805,248938.4857,249156.3132
AZ,4bedroom,154,318260.1211,319056.7135,319801.8995,320509.7239,321196.7797,321752.8856,322265.5308,322724.3984,323134.2725,323497.1994,323822.8305,324113.1106
AZ,5bedroomOrMore,129,428264.6763,428862.5922,429442.609,429961.2636,430427.1707,430868.9174,431270.6054,431655.3456,432008.5257,432321.3948,432619.0471,432890.9245
AZ,AllHomes,200,234523.2326,235217.757,235865.4959,236453.5026,236996.2355,237497.5763,237938.0076,238343.0838,238703.3762,239013.6435,239289.2685,239527.7719
CA,1bedroom,845,376624.7161,377432.0987,378179.3117,378875.3364,379508.4164,380088.8466,380611.2949,381085.843,381515.3222,381906.9921,382270.2295,382607.072
CA,2bedroom,1043,444714.5422,445421.8395,446087.9934,446671.3436,447223.1047,447674.4638,448132.0203,448479.7022,448831.0359,449105.8685,449362.4748,449557.8119
CA,3bedroom,1080,577925.1666,578946.8549,579984.8615,580825.3654,581698.541,582401.5063,583159.9377,583761.1923,584418.7839,584917.1772,585471.5803,585874.3816
CA,4bedroom,1006,753078.2302,754302.5584,755428.802,756488.1772,757461.3969,758360.0694,759195.2221,759965.9782,760671.7573,761325.0837,761930.5732,762484.7283
CA,5bedroomOrMore,878,1017413.354,1018634.961,1019993.81,1021078.558,1022257.488,1023157.038,1024187.152,1024987.159,1025937.961,1026646.453,1027480.988,1028069.122
CA,AllHomes,1112,586188.2092,587256.8809,588344.4408,589220.7439,590110.1366,590822.5198,591594.2416,592217.5968,592895.1012,593405.2652,593960.0271,594363.9269
CO,1bedroom,314,254770.38,255357.8429,255929.7996,256488.3754,257034.0755,257556.3461,258070.7472,258571.522,259059.4803,259534.0117,259991.0147,260441.5745
CO,2bedroom,376,289233.8178,289859.6139,290479.9734,291072.8004,291653.8877,292224.8704,292767.2444,293303.3029,293823.9229,294322.1445,294816.857,295291.4815
CO,3bedroom,388,370795.5618,371672.4517,372489.622,373266.6547,374112.5113,374855.5381,375627.403,376416.4159,377117.2194,377876.0641,378611.9196,379281.1653
CO,4bedroom,353,482989.4519,483898.3174,484790.2708,485664.4379,486524.3838,487368.6631,488198.026,489011.892,489811.9012,490597.2705,491368.7873,492126.2104
CO,5bedroomOrMore,308,650236.8266,651100.2296,651919.0402,652746.0952,653591.8941,654417.842,655199.2938,655973.0137,656769.9472,657557.228,658302.8483,659031.6201
CO,AllHomes,403,350735.6737,351425.4391,352100.3557,352754.1185,353384.4022,353992.9387,354582.9464,355158.5215,355717.8588,356260.6624,356784.9452,357292.5434
CT,1bedroom,164,167850.1005,167931.6927,168011.7668,168083.4948,168136.537,168203.1901,168259.9926,168307.7042,168369.6685,168416.5554,168462.5609,168518.8929
CT,2bedroom,183,221993.1089,222078.554,222153.3172,222235.5027,222320.1547,222399.6698,222462.7319,222522.8431,222586.1192,222654.9135,222712.967,222761.3348
CT,3bedroom,186,288708.9075,288849.9845,288979.0595,289114.5839,289248.8241,289376.1567,289487.7549,289588.4144,289690.1898,289792.0956,289892.108,289980.5406
CT,4bedroom,185,363493.1855,363545.4786,363589.9264,363634.9659,363677.2571,363716.7364,363754.1509,363791.8074,363826.9217,363860.2729,363893.7813,363926.3064
CT,5bedroomOrMore,184,468103.645,468020.5731,468102.7108,468026.6059,468048.0239,468051.8332,467990.1495,468066.0918,467983.4329,468035.6621,468008.9692,467975.9414
CT,AllHomes,186,301330.9193,301410.9349,301536.2692,301605.4018,301726.8143,301787.6881,301894.6381,301943.3942,302045.4755,302093.0986,302190.587,302229.7778
DC,1bedroom,1,421206.7205,421864.5636,422509.2282,423162.9719,423782.7285,424405.6973,425031.4204,425623.6621,426237.7967,426834.276,427416.7091,428018.2514
DC,2bedroom,1,603888.4655,605161.5401,606447.7785,607725.9731,609024.3246,610311.7585,611613.0593,612913.4538,614212.8888,615524.6059,616824.1625,618140.3564
DC,3bedroom,1,691623.9017,692739.9935,693862.7317,694936.8699,695903.4658,696795.3576,697674.8122,698544.5418,699361.3691,700105.4767,700802.9228,701485.8647
DC,4bedroom,1,925864.3766,927885.8575,929962.848,931942.995,933959.5595,935967.4623,937905.3961,939923.3424,941848.1838,943808.971,945775.5222,947673.874
DC,5bedroomOrMore,1,1483359.816,1486592.806,1489772.707,1492935.552,1496079.703,1499214.126,1502347.615,1505471.881,1508592.468,1511712.862,1514824.903,1517935.679
DC,AllHomes,1,641747.3048,642647.5867,643522.2411,644352.9994,645147.1677,645911.7541,646644.3628,647349.2599,648027.5556,648680.7621,649310.0528,649916.9051
DE,1bedroom,33,207328.1799,207471.3993,207608.9862,207734.7094,207853.7083,207974.9953,208091.8021,208202.1118,208304.4645,208402.1324,208499.6355,208594.121
DE,2bedroom,59,215163.5584,215313.8141,215443.4965,215598.7909,215728.8202,215834.169,215960.5835,216073.3292,216152.8891,216253.3774,216346.092,216405.3936
DE,3bedroom,65,290628.8773,290861.4631,291078.2073,291283.1412,291478.8974,291666.3385,291843.9827,292010.1476,292164.5695,292308.5989,292444.3504,292573.4811
DE,4bedroom,63,344410.4778,344635.1655,344854.4202,345069.2307,345279.9695,345486.5192,345688.6837,345886.8618,346081.1297,346271.4229,346457.8567,346640.5857
DE,5bedroomOrMore,53,470756.643,470887.6219,471062.7994,471178.1427,471347.5626,471464.6012,471631.4458,471737.2852,471891.6833,471992.2492,472146.6231,472244.2861
DE,AllHomes,66,305218.0792,305424.2092,305613.2773,305791.939,305960.3472,306120.4344,306271.3028,306413.1687,306545.3436,306667.7725,306780.3375,306883.2086
FL,1bedroom,525,165946.7114,166154.4083,166292.5282,166492.8065,166629.524,166752.2587,166909.4919,166994.6784,167099.7245,167209.9408,167251.7758,167345.3431
FL,2bedroom,657,215264.0275,215750.4508,216186.6331,216643.0115,217009.8743,217368.9317,217730.3618,217998.4054,218312.0422,218569.7829,218788.1194,219046.5098
FL,3bedroom,666,320822.6357,321220.0975,321573.0636,321873.602,322131.4444,322343.7208,322517.7538,322651.0531,322750.9753,322815.2794,322849.7685,322854.5176
FL,4bedroom,645,450193.0723,450543.5747,450889.7109,451182.3655,451467.7647,451694.7454,451910.6488,452067.4234,452215.8231,452310.5251,452403.56,452449.6127
FL,5bedroomOrMore,578,743780.3012,744036.3149,743976.508,744183.6303,744319.1296,744197.483,744348.1283,744390.3549,744205.1487,744323.82,744264.553,744051.0915
FL,AllHomes,685,321479.784,321809.9557,322096.1372,322350.7858,322578.3446,322773.6859,322938.2097,323086.5494,323197.6399,323295.9931,323369.0474,323420.3069
GA,1bedroom,354,133717.6555,133956.4463,134154.6885,134350.6577,134561.3753,134740.1141,134908.2228,135094.4544,135257.2854,135402.0094,135564.3824,135712.6073
GA,2bedroom,539,115762.173,116037.1334,116318.5443,116585.0687,116828.206,117066.7817,117303.4499,117520.882,117723.1031,117926.4146,118122.8965,118300.3755
GA,3bedroom,616,158426.5554,158767.4873,159086.8749,159401.6825,159693.2742,159968.5892,160240.6626,160487.058,160726.9886,160958.9995,161168.9693,161377.7614
GA,4bedroom,560,226759.5708,227122.8573,227461.3567,227771.8859,228060.2202,228335.3737,228598.5502,228843.3476,229063.4493,229261.6037,229446.2074,229622.7185
GA,5bedroomOrMore,451,318871.0749,319219.3051,319553.3249,319874.8129,320181.8648,320475.4545,320756.7069,321024.5478,321279.4736,321523.0206,321754.5597,321974.1948
GA,AllHomes,649,156010.3831,156285.9158,156545.3145,156785.6916,157006.8992,157212.624,157402.0068,157573.5918,157731.2264,157874.4095,158001.8307,158116.4303
HI,1bedroom,62,527063.0721,527749.9333,528127.5742,528357.9762,528777.0216,529439.3986,530047.081,530364.0422,530508.3652,530816.1652,531368.4105,531913.0069
HI,2bedroom,66,545622.8555,546015.8488,546390.1564,546750.4153,547087.0435,547406.9765,547706.5958,547990.3075,548261.1348,548518.1065,548763.3033,548994.4457
HI,3bedroom,65,612265.2017,612608.5519,612933.0413,613243.0823,613534.5573,613812.7487,614080.6217,614333.7972,614574.4432,614803.1233,615021.867,615230.2925
HI,4bedroom,66,744421.938,744799.0008,745324.9945,745854.6584,746180.2455,746493.5256,746729.0655,746979.9384,747424.3701,747818.491,748158.0216,748445.8366
HI,5bedroomOrMore,58,905326.6902,905791.6238,906229.4523,906650.6905,907053.5744,907435.6423,907799.6483,908145.995,908477.9976,908793.9887,909094.2669,909380.716
HI,AllHomes,67,603797.4377,604152.9757,604488.7783,604805.8205,605105.0217,605388.6319,605656.8881,605910.0921,606149.0235,606375.4128,606589.6649,606791.902
IA,1bedroom,553,78369.25465,78372.83481,78403.02908,78415.35553,78394.84212,78388.96565,78374.25606,78359.36913,78381.2811,78394.23142,78395.06253,78406.75457
IA,2bedroom,885,91398.86541,91478.38319,91516.52203,91550.89223,91626.49565,91696.07729,91738.51354,91747.32035,91754.54576,91802.74383,91850.12971,91873.20417
IA,3bedroom,934,122711.9342,122860.1373,122997.741,123135.1722,123266.309,123393.8454,123517.8832,123634.2453,123750.6093,123861.2666,123968.5441,124072.7373
IA,4bedroom,876,151566.7488,151647.3325,151753.493,151833.6137,151918.2605,152012.2419,152076.215,152167.5432,152234.3961,152302.6553,152383.2709,152433.3229
IA,5bedroomOrMore,736,197181.2434,197244.0955,197302.5328,197397.3386,197500.1801,197573.484,197626.1005,197702.7417,197804.4961,197885.7836,197938.7058,198001.3563
IA,AllHomes,972,122168.7717,122297.4713,122387.7822,122429.1647,122510.1346,122606.1462,122646.8874,122674.4837,122752.3243,122812.1461,122821.2143,122853.0313
ID,1bedroom,164,189174.9853,189542.0994,189869.8736,190258.4102,190583.6467,190863.3654,191166.545,191458.9491,191736.1427,191959.8768,192204.0447,192462.4293
ID,2bedroom,230,202190.5061,202504.2243,202796.2921,203111.6889,203327.6941,203551.1256,203742.5214,203854.3113,203989.0065,204048.0664,204083.2261,204116.2085
