,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY,CA_forecast,TX_forecast,NY_forecast,FL_forecast,IL_forecast,PA_forecast,OH_forecast,MI_forecast,GA_forecast,NC_forecast,NJ_forecast,VA_forecast,WA_forecast,MA_forecast,IN_forecast,AZ_forecast,TN_forecast,MO_forecast,MD_forecast,WI_forecast,MN_forecast,CO_forecast,AL_forecast,SC_forecast,LA_forecast,KY_forecast,OR_forecast,OK_forecast,CT_forecast,IA_forecast,MS_forecast,AR_forecast,KS_forecast,UT_forecast,NV_forecast,NM_forecast,WV_forecast,NE_forecast,ID_forecast,HI_forecast,ME_forecast,NH_forecast,RI_forecast,MT_forecast,DE_forecast,SD_forecast,AK_forecast,ND_forecast,VT_forecast,DC_forecast,WY_forecast
1996-01-31,104045.0,65737.0,137520.0,55385.0,89837.0,60427.0,48704.0,60453.0,69893.0,67161.0,108351.0,91907.0,97752.0,90235.0,,61911.0,64790.0,52233.0,90597.0,67942.0,58394.0,80096.0,45586.0,76442.0,78288.0,46725.0,89845.0,22039.0,76317.0,53867.0,,44018.0,45943.0,118776.0,73811.0,,38174.0,54117.0,95982.0,134777.0,79439.0,55067.0,85290.0,,79814.0,,81062.0,,74651.0,107441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,103897.0,65653.0,137343.0,55424.0,89655.0,60356.0,48721.0,60671.0,70025.0,67487.0,108193.0,91817.0,97773.0,90184.0,,62111.0,65047.0,52527.0,90360.0,68126.0,58122.0,80421.0,45861.0,76622.0,78230.0,46847.0,90238.0,22115.0,75898.0,53956.0,,43891.0,46056.0,118956.0,73806.0,,38180.0,54339.0,96218.0,134459.0,78917.0,54611.0,85499.0,,79845.0,,81712.0,,74638.0,107476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,103745.0,65617.0,137186.0,55481.0,89445.0,60321.0,48750.0,60883.0,70288.0,67779.0,108025.0,91759.0,97848.0,90162.0,,62312.0,65219.0,52845.0,90192.0,68260.0,57942.0,80696.0,46192.0,76846.0,78335.0,46934.0,90494.0,22205.0,75932.0,54078.0,,43828.0,46122.0,119167.0,73814.0,,38208.0,54145.0,96599.0,133927.0,78471.0,54218.0,85631.0,,79908.0,,82361.0,,74468.0,107339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,103456.0,65713.0,136960.0,55581.0,89267.0,60239.0,48803.0,61321.0,70716.0,68331.0,107754.0,91653.0,97927.0,90242.0,,62703.0,65651.0,53440.0,89749.0,68675.0,57739.0,81272.0,46864.0,77324.0,78758.0,47124.0,91165.0,22359.0,75829.0,54272.0,,43801.0,46268.0,119674.0,73792.0,,38256.0,54193.0,97294.0,133141.0,77498.0,53707.0,85862.0,,80047.0,,83581.0,,74229.0,107126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,103217.0,65767.0,136758.0,55675.0,88951.0,60186.0,48848.0,61698.0,71319.0,68840.0,107379.0,91615.0,98045.0,90353.0,,63096.0,66152.0,53793.0,89374.0,68877.0,57634.0,81785.0,47672.0,77788.0,78825.0,47281.0,91696.0,22516.0,75777.0,54515.0,,43861.0,46362.0,120254.0,73852.0,,38302.0,54116.0,97769.0,132204.0,76786.0,53534.0,85931.0,,80362.0,,84497.0,,73866.0,106695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,103050.0,65834.0,136572.0,55782.0,88835.0,60154.0,48894.0,62071.0,71927.0,69303.0,107098.0,91459.0,98295.0,90561.0,,63479.0,66768.0,53995.0,89075.0,69139.0,57686.0,82351.0,48141.0,78285.0,79219.0,47427.0,92258.0,22600.0,75626.0,54718.0,,43991.0,46482.0,120897.0,73894.0,,38355.0,54512.0,97907.0,131596.0,76173.0,53562.0,85893.0,,80727.0,,85235.0,,73479.0,106378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,102912.0,65669.0,136332.0,55891.0,88582.0,60156.0,48937.0,62426.0,72646.0,69817.0,106821.0,91345.0,98489.0,90815.0,,63815.0,67380.0,54067.0,88831.0,69380.0,57759.0,82908.0,48421.0,78687.0,79336.0,47602.0,92794.0,22726.0,75360.0,54852.0,,44084.0,46711.0,121426.0,73936.0,,38424.0,54784.0,97893.0,130940.0,75873.0,53628.0,85903.0,,81036.0,,85824.0,,73006.0,106101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,102729.0,65914.0,136013.0,55984.0,89066.0,60216.0,49037.0,62790.0,73300.0,70336.0,106781.0,91005.0,98580.0,91211.0,,64092.0,67740.0,54226.0,88709.0,69732.0,58008.0,83479.0,48349.0,79163.0,80070.0,47777.0,93413.0,22841.0,75348.0,54899.0,,44280.0,46927.0,121899.0,74086.0,,38470.0,55296.0,97996.0,130326.0,75718.0,53559.0,86033.0,,81093.0,,86345.0,,72784.0,105959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,102521.0,66047.0,135735.0,56026.0,89660.0,60252.0,49133.0,63123.0,73934.0,70779.0,106832.0,90990.0,98572.0,91595.0,,64317.0,68006.0,54307.0,88576.0,70099.0,58226.0,84028.0,48465.0,79326.0,80557.0,47963.0,94180.0,23024.0,74843.0,54912.0,,44467.0,47027.0,122329.0,74283.0,,38484.0,55566.0,98045.0,129576.0,75852.0,53524.0,86230.0,,81181.0,,87041.0,,72515.0,105679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,102404.0,66466.0,135658.0,56053.0,90691.0,60285.0,49235.0,63412.0,74427.0,71089.0,106851.0,90806.0,98766.0,92046.0,65454.0,64554.0,68179.0,54425.0,88543.0,70360.0,58404.0,84539.0,48544.0,79554.0,81255.0,48070.0,94906.0,23178.0,74500.0,54970.0,,44664.0,47095.0,122799.0,74516.0,,38481.0,55873.0,98077.0,128687.0,75988.0,53554.0,86302.0,,81488.0,,87628.0,,72405.0,105321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-30,102387.0,66590.0,135746.0,56099.0,91443.0,60325.0,49316.0,63756.0,74919.0,71368.0,106786.0,90898.0,99134.0,92521.0,65491.0,64780.0,68494.0,54523.0,88463.0,70670.0,58613.0,85057.0,48739.0,79768.0,82296.0,48258.0,95607.0,23341.0,73639.0,55116.0,,44803.0,47068.0,123197.0,74609.0,,38536.0,56054.0,97975.0,127906.0,76089.0,53810.0,86267.0,,81910.0,,88320.0,,72236.0,105008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,102423.0,66734.0,135930.0,56150.0,91973.0,60419.0,49419.0,64149.0,75417.0,71614.0,106688.0,90878.0,99446.0,93031.0,65508.0,65015.0,68795.0,54660.0,88407.0,70935.0,58860.0,85562.0,49000.0,80200.0,83565.0,48486.0,96300.0,23503.0,73422.0,55411.0,,44959.0,47087.0,123446.0,74808.0,,38626.0,56394.0,97979.0,126928.0,76160.0,54215.0,86000.0,,82271.0,,88360.0,,72307.0,104835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-31,102324.0,66724.0,136101.0,56095.0,92216.0,60528.0,49538.0,64536.0,75988.0,71817.0,106811.0,90909.0,99718.0,93308.0,65486.0,65213.0,69024.0,54687.0,88266.0,71103.0,59160.0,86085.0,49215.0,80270.0,84631.0,48693.0,96960.0,23509.0,72653.0,55413.0,,45154.0,46985.0,123516.0,75096.0,,38732.0,56671.0,97692.0,126283.0,76539.0,54680.0,86026.0,,82347.0,,88407.0,,72707.0,104634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-28,102202.0,66801.0,136399.0,56086.0,92322.0,60660.0,49640.0,64826.0,76715.0,71981.0,107005.0,90739.0,100007.0,93614.0,65714.0,65382.0,69193.0,54589.0,88139.0,71225.0,59558.0,86568.0,49330.0,80313.0,85278.0,48818.0,97698.0,23516.0,72690.0,55333.0,,45459.0,47062.0,123602.0,75379.0,,38901.0,56863.0,97401.0,125470.0,77136.0,55300.0,85817.0,,82519.0,,88509.0,,72945.0,104350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,102172.0,66843.0,136750.0,56099.0,92584.0,60763.0,49782.0,65101.0,77397.0,72321.0,107240.0,90486.0,100400.0,93985.0,65965.0,65550.0,69428.0,54270.0,88004.0,71275.0,60026.0,87067.0,49241.0,80672.0,85444.0,48920.0,98576.0,23514.0,72109.0,55037.0,,45721.0,47189.0,123744.0,75527.0,,39081.0,57479.0,96913.0,124580.0,77820.0,55930.0,85758.0,,82764.0,,88868.0,,73234.0,104210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-30,102329.0,66751.0,137025.0,56235.0,92626.0,60901.0,49937.0,65378.0,78153.0,72760.0,107357.0,90280.0,100773.0,94437.0,66334.0,65754.0,69702.0,53896.0,88001.0,71281.0,60405.0,87587.0,49067.0,81413.0,85983.0,49067.0,99484.0,23658.0,71939.0,55042.0,,45779.0,47275.0,123844.0,75733.0,,39309.0,58233.0,95905.0,123192.0,78555.0,56241.0,85336.0,,83011.0,,89037.0,,73089.0,104121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-31,102546.0,66622.0,137325.0,56350.0,92926.0,61038.0,50139.0,65783.0,78603.0,73119.0,107692.0,90118.0,101200.0,94934.0,66334.0,65980.0,69819.0,53791.0,88065.0,71617.0,60755.0,88193.0,48788.0,82119.0,87079.0,49219.0,100472.0,23822.0,71519.0,54893.0,,45773.0,47305.0,124053.0,75854.0,,39456.0,59177.0,95360.0,121998.0,78993.0,56278.0,85188.0,,83008.0,,89394.0,,73005.0,104193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,102721.0,66557.0,137644.0,56458.0,92939.0,61244.0,50301.0,66156.0,78980.0,73446.0,107978.0,90031.0,101365.0,95380.0,66469.0,66176.0,69709.0,53910.0,87970.0,71919.0,61027.0,88706.0,48924.0,82519.0,87668.0,49426.0,101352.0,24079.0,71333.0,54754.0,,45823.0,47479.0,124115.0,75972.0,,39590.0,59398.0,95443.0,120716.0,79507.0,56248.0,84939.0,,82854.0,,89928.0,,72969.0,104050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-31,103045.0,66734.0,138060.0,56549.0,92990.0,61438.0,50488.0,66584.0,79237.0,73627.0,108341.0,89806.0,101631.0,95839.0,66447.0,66377.0,69669.0,54042.0,88086.0,72132.0,61302.0,89158.0,49355.0,82954.0,88158.0,49649.0,102172.0,24309.0,71374.0,54661.0,,46034.0,47752.0,124349.0,76098.0,,39748.0,59588.0,96579.0,119685.0,79640.0,56335.0,84644.0,,82802.0,,90720.0,,73238.0,104081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-31,103557.0,66429.0,138606.0,56652.0,91734.0,61519.0,50630.0,66989.0,79570.0,73826.0,108538.0,89744.0,102006.0,96272.0,66616.0,66601.0,70009.0,53949.0,88068.0,72084.0,61445.0,89519.0,50135.0,83476.0,87916.0,49871.0,102950.0,24546.0,71003.0,54762.0,,46202.0,48074.0,124418.0,76116.0,,39871.0,59336.0,97191.0,119023.0,79676.0,56587.0,84017.0,,83240.0,,91256.0,,73400.0,103718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,104236.0,66380.0,139204.0,56764.0,90242.0,61596.0,50809.0,67438.0,80031.0,74116.0,108664.0,89792.0,102468.0,96769.0,66607.0,66890.0,70520.0,54008.0,88144.0,72052.0,61654.0,89972.0,50588.0,84549.0,88424.0,50034.0,103531.0,24687.0,71192.0,54976.0,,46372.0,48216.0,124586.0,76234.0,,39903.0,59552.0,97432.0,118696.0,79506.0,56869.0,83442.0,,83528.0,,91338.0,,73635.0,103656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-31,104820.0,65993.0,139606.0,56881.0,88043.0,61662.0,50993.0,67915.0,80744.0,74531.0,108854.0,89900.0,102809.0,97309.0,66926.0,67155.0,71107.0,54061.0,88088.0,72178.0,61967.0,90551.0,50966.0,85587.0,88386.0,50195.0,104161.0,24880.0,71245.0,55165.0,,46540.0,48238.0,124628.0,76219.0,,39954.0,59870.0,97387.0,118600.0,79422.0,57111.0,83145.0,,83416.0,,91270.0,,73601.0,103646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-30,105406.0,66012.0,140020.0,56978.0,86483.0,61803.0,51220.0,68322.0,81537.0,75001.0,109167.0,89896.0,102959.0,97823.0,67274.0,67416.0,71448.0,54209.0,87999.0,72299.0,62312.0,91240.0,51043.0,86610.0,88099.0,50337.0,104770.0,25053.0,71734.0,55197.0,,46814.0,48228.0,124698.0,76408.0,,40041.0,60477.0,97554.0,118129.0,79567.0,57143.0,83123.0,,82816.0,,90814.0,,73768.0,103999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,106081.0,66159.0,140439.0,57106.0,85468.0,61912.0,51467.0,68636.0,82325.0,75466.0,109598.0,89858.0,103395.0,98435.0,67691.0,67652.0,71807.0,54161.0,88057.0,72464.0,62717.0,91833.0,51022.0,87231.0,87509.0,50508.0,105360.0,25256.0,71674.0,54997.0,,47116.0,48329.0,124874.0,76485.0,,40286.0,60993.0,97527.0,118088.0,79817.0,57071.0,83519.0,,82311.0,,90587.0,,73759.0,104258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-31,107045.0,66508.0,141095.0,57467.0,85188.0,62024.0,51725.0,68927.0,83102.0,76059.0,109843.0,89860.0,104229.0,99300.0,67918.0,68005.0,72320.0,54224.0,88194.0,72790.0,63124.0,92412.0,50975.0,88616.0,87516.0,50859.0,106217.0,25695.0,72095.0,55221.0,,47301.0,48497.0,125374.0,76626.0,,40360.0,61541.0,97863.0,117217.0,79472.0,56936.0,83547.0,,82381.0,,89942.0,,73211.0,104701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
