State,Room Size,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025
California,1bedroom,415705.1561,417242.1037,418692.3487,420228.068,421838.3713,423765.7147,425575.6838,427409.1207,429774.455,432519.0488,435535.2112,438450.8498,440367.3309,442149.5874,443823.4413,445553.3969,447330.7622,449378.8876,451303.5589,453235.628,455643.7072,458389.8871,461379.2022,464273.9664,466219.4237,468026.3852,469723.8996,471473.0313,473265.2338,475316.4962,477246.3907,479181.7637,481576.6648,484298.0597,487255.1848,490122.2991,492059.9903,493859.5952,495551.104,497294.1741,499080.1467,501122.2466,503044.8172,504973.1636,507356.0527,510062.0904,513001.9236,515853.9841,517784.2489,519577.0709,521262.7217,523000.3112,524781.0981,526817.2867,528734.8828,530658.6133,533035.3399,535734.2274,538666.4028
Texas,1bedroom,118030.9444,118393.4713,118743.9961,119096.6196,119434.2696,119760.1599,120101.4113,120466.3036,120860.3278,121283.2266,121637.9257,121968.3943,122306.4916,122642.2388,122982.5762,123328.3496,123663.2473,124000.6763,124336.7172,124684.5392,125031.7066,125417.807,125744.1625,126073.472,126397.3041,126719.4515,127044.8163,127375.4955,127695.1033,128016.0799,128337.4399,128671.8879,129008.6814,129383.6367,129698.2257,130013.3733,130324.457,130633.965,130946.9898,131265.5081,131573.1391,131882.4125,132192.0632,132514.8378,132839.8318,133203.2163,133506.4471,133810.615,134110.7355,134409.4181,134711.7357,135019.6746,135316.8516,135615.7863,135915.2384,136227.9488,136543.0265,136896.6075,137190.1475
New York,1bedroom,370434.8627,370835.3735,371120.8713,371406.6927,371842.9842,371957.5499,372019.248,371952.829,372264.3207,372392.793,372621.4495,372451.1276,372875.7119,373269.2,373549.5589,373831.387,374265.1851,374375.0595,374432.4236,374360.6631,374670.2638,374796.7089,375025.6236,374852.5318,375276.6546,375669.8142,375949.8668,376231.4404,376664.9695,376774.8861,376832.34,376760.8303,377070.4057,377196.8798,377425.6394,377252.7067,377676.7903,378069.9148,378349.9435,378631.4991,379065.0201,379174.9058,379232.3298,379160.779,379470.3432,379596.8037,379825.5693,379652.6145,380076.6963,380469.8197,380749.8472,381031.4017,381464.9212,381574.8081,381632.2334,381560.6855,381870.2498,381996.7109,382225.4753
Florida,1bedroom,138284.659,138925.0866,139559.4046,140192.72,140826.7649,141458.4791,142086.5384,142714.5523,143346.125,143973.3464,144557.1011,145138.8915,145731.0701,146326.6792,146918.0642,147508.0512,148098.2475,148686.7764,149273.9581,149859.5179,150447.8223,151034.8437,151587.7533,152137.8832,152698.776,153263.3951,153824.1262,154383.8485,154944.1677,155503.1728,156061.1382,156617.8829,157177.7497,157736.6088,158261.4683,158783.9131,159317.4516,159855.0451,160389.0742,160922.4129,161456.6631,161989.9107,162522.4274,163054.0259,163589.0462,164123.3571,164623.9675,165122.4519,165632.3163,166146.5184,166657.4356,167167.9384,167679.6255,168190.5794,168701.0688,169210.9032,169724.4193,170237.4829,170717.0996
Illinois,1bedroom,145114.6505,145414.3049,145621.2312,145827.218,146039.8942,146178.7,146311.7973,146375.4606,146459.9203,146672.9252,146959.7445,147241.7999,147646.3626,147947.4361,148163.0138,148377.0559,148596.2266,148748.4555,148895.5196,148979.9311,149082.9531,149301.4188,149587.6873,149869.8996,150272.5865,150576.1302,150797.1252,151016.1557,151239.485,151398.7403,151552.9435,151647.3249,151759.2694,151980.8856,152267.6171,152550.5276,152952.9666,153258.0894,153481.89,153703.4934,153928.9937,154091.6264,154249.2222,154348.1937,154464.2467,154687.4435,154974.5681,155257.9539,155660.4402,155966.3871,156191.5293,156414.3607,156640.9032,156805.0912,156964.2395,157065.2746,157183.175,157407.1161,157694.4638
Pennsylvania,1bedroom,127433.745,127855.9284,128216.2414,128596.8779,128987.8616,129381.0117,129749.6023,130126.2254,130510.0198,130886.7308,131255.2078,131607.4898,131962.5089,132322.4553,132697.6905,133064.9352,133426.5025,133787.8996,134155.2224,134520.2956,134881.2096,135246.7325,135604.7863,135968.0079,136330.6571,136685.4444,137030.2013,137376.7144,137723.2062,138070.6283,138414.1591,138759.1743,139104.1089,139450.0717,139788.6142,140125.5203,140463.2498,140797.6611,141130.7485,141462.635,141792.8998,142124.0054,142454.7568,142786.0204,143116.1131,143448.687,143774.0833,144100.3613,144427.2508,144749.5604,145067.8967,145386.2581,145703.7692,146022.3872,146339.7081,146658.0946,146975.9,147295.9275,147608.9181
Ohio,1bedroom,76575.9461,77036.65446,77473.78652,77896.26995,78296.0282,78680.85943,79093.50972,79538.70216,79982.89836,80388.18821,80770.01985,81160.32516,81544.17965,81922.39453,82312.03146,82705.54426,83107.0514,83513.57999,83911.0867,84299.20273,84687.18971,85089.65468,85496.22456,85899.76944,86311.80387,86725.32296,87135.06272,87540.63239,87940.85353,88337.43165,88740.98984,89153.37094,89565.24646,89968.41267,90363.7119,90760.98068,91160.24982,91557.90931,91958.3923,92358.20008,92758.45492,93158.83025,93559.23536,93960.55245,94361.52762,94763.86499,95163.53547,95563.00625,95967.29609,96371.3204,96775.30042,97177.08735,97576.80415,97975.00689,98376.25839,98781.85808,99187.0449,99589.21949,99986.46867
Michigan,1bedroom,114927.8629,115689.0012,116422.5625,117153.1946,117890.135,118633.3081,119333.0917,120012.5613,120697.5978,121399.9095,122076.1495,122672.8504,123280.0013,123885.8795,124504.9443,125120.2843,125735.5074,126347.1652,126975.2716,127605.8405,128234.5418,128866.6913,129481.2708,130112.9195,130743.5616,131373.2437,132003.6735,132630.766,133259.8656,133888.5641,134515.3819,135137.7709,135760.7245,136391.5308,137002.2791,137600.4143,138201.2134,138801.0896,139405.6855,140006.9566,140609.7106,141211.2173,141816.6302,142419.8703,143023.0525,143632.8554,144223.495,144810.8086,145399.7784,145987.9384,146579.7158,147168.2876,147758.6263,148348.1004,148939.8155,149528.7816,150118.0013,150714.3406,151291.3584
Georgia,1bedroom,188362.538,189017.0435,189426.1093,189754.2181,190152.1389,190500.9939,190743.8757,191093.3641,191528.2704,192030.7919,192608.9753,193325.0942,193811.9886,194469.4431,194911.2076,195278.8215,195708.0615,196091.9092,196386.7379,196776.3922,197237.7816,197756.8376,198337.7502,199042.9266,199538.9758,200204.7703,200659.5494,201040.7838,201481.6071,201877.1832,202186.3189,202587.7309,203058.0238,203583.8348,204168.6915,204875.0533,205375.6296,206045.5551,206505.0778,206890.9566,207335.8677,207735.3839,208048.7649,208453.8187,208927.1076,209455.4073,210042.1366,210749.774,211252.1349,211923.6896,212384.8749,212772.3284,213218.6498,213619.4914,213934.1991,214340.4223,214814.7198,215343.8962,215931.3542
North Carolina,1bedroom,130672.3025,131190.2518,131736.2436,132284.9598,132809.6966,133320.3402,133827.1443,134355.4073,134896.8963,135453.9908,135960.0123,136472.6757,136996.3301,137522.9276,138039.2783,138550.4755,139061.5881,139571.6566,140084.7991,140590.3371,141090.2044,141586.9329,142069.8792,142550.0591,143041.9175,143535.7322,144029.3273,144520.1046,145005.0968,145486.0824,145968.7267,146451.4423,146933.5891,147417.6567,147878.8327,148339.9347,148812.8518,149288.2814,149761.26,150231.1301,150696.9528,151159.8109,151624.9753,152088.557,152550.5634,153013.4916,153456.1079,153898.2432,154352.4296,154809.2553,155264.4587,155716.8885,156165.09,156610.3191,157057.9433,157504.6528,157950.2882,158397.3421,158823.6733
